"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc6a1",1.91393607778809e-212,1.06486528293538,0.888,0.1,4.68722945450302e-208
"Asic4",8.30372735268372e-192,0.676895891217754,0.942,0.164,2.03358282867224e-187
"Plch2",2.80252132104702e-170,0.656386341413861,0.93,0.178,6.86337471524416e-166
"Pid1",2.4289973644655e-161,1.72516901884403,0.967,0.236,5.94861454557601e-157
"Calcb",6.30107315583923e-158,0.915823196939922,0.636,0.058,1.54313281586503e-153
"Onecut3",5.49889547106368e-157,0.531065808173671,0.893,0.159,1.3466795008635e-152
"Greb1l",7.84111213033539e-139,2.31198581829274,1,0.555,1.92028836071914e-134
"Mpp2",1.9937909529552e-134,1.28515403942201,1,0.458,4.88279404378728e-130
"Ntrk2",4.69685702594503e-131,1.39297072885356,1,0.306,1.15026028565394e-126
"Cntn5",2.4224846268512e-130,0.452396130229856,0.855,0.179,5.93266485115858e-126
"Nefm",3.43535351593087e-129,1.95587352687452,1,0.676,8.4131807605147e-125
"Fstl4",2.9731542214824e-128,0.910479833216894,0.86,0.211,7.28125468841039e-124
"Nr6a1",5.79642460116436e-128,2.29184154659479,1,0.744,1.41954438482515e-123
"Hpca",1.48770922442176e-126,0.700980775457337,0.95,0.304,3.6433998906089e-122
"Scn9a",9.47938489767245e-126,1.81879406377983,1,0.489,2.32150136143998e-121
"Etv4",1.95256564096013e-125,0.869904416943897,0.967,0.296,4.78183325471135e-121
"Mapre2",3.50718357491973e-123,1.72848125996719,1,0.94,8.58909257497842e-119
"Nrxn3",4.38377023080855e-123,1.60376059447458,1,0.431,1.07358532952501e-118
"Grb14",7.04799166190809e-121,1.2848778333073,1,0.357,1.72605315800129e-116
"Lrfn2",1.00531928939096e-119,0.334370588174581,0.888,0.215,2.46202693971845e-115
"9530059O14Rik",1.16703338781531e-119,1.11588324521175,0.942,0.3,2.8580647667597e-115
"Slc8a1",1.25579846125343e-119,1.23348421078235,0.967,0.41,3.07545043160966e-115
"Etv1",5.30336271769339e-117,0.542229546121761,0.946,0.284,1.29879352956311e-112
"Sema3d",9.48440879570756e-117,1.49434592277309,0.983,0.361,2.32273171406878e-112
"Ap1s2",1.08109233966903e-116,1.60182227984226,1,0.82,2.64759513984946e-112
"Cdh22",1.26800755054289e-116,0.280742271952924,0.45,0.033,3.10535049127954e-112
"Nefl",6.10463399904141e-115,1.59307231982084,1,0.634,1.49502486636524e-110
"Ngfr",7.05732477975906e-113,1.62370390923924,1,0.808,1.72833883856299e-108
"Kcnab1",5.51675083091865e-112,1.0396237852585,0.95,0.327,1.35105227849198e-107
"Fam188a",4.19323684711394e-110,1.34607394108161,1,0.883,1.0269237038582e-105
"Nell2",1.53657246418517e-109,1.67158317192376,1,0.688,3.76306596478948e-105
"Galnt13",1.02196483673416e-107,0.603827751157165,0.921,0.295,2.50279188516195e-103
