"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Atp1a2",1.75679598937816e-241,1.19300892528589,0.773,0.04,4.30239337798711e-237
"Gpr126",6.40413818991513e-235,1.56806278210344,0.862,0.067,1.56837344271022e-230
"Afap1l2",5.7529623495295e-194,1.87438131677968,0.862,0.101,1.40890047939978e-189
"Fmo1",1.61803369142939e-185,1.06077972189902,0.473,0.008,3.96256451031058e-181
"Ttyh1",4.69061151019151e-180,3.06322256152982,0.956,0.184,1.1487307588459e-175
"Itgb3",1.36230201713091e-171,0.608365736181227,0.498,0.016,3.3362776399536e-167
"Cyp2j9",5.50822501445258e-164,0.662298858610781,0.537,0.025,1.34896430603944e-159
"Rassf10",2.583714083172e-158,1.03677161455058,0.498,0.021,6.32751578968823e-154
"Mpz",8.74897949153722e-158,1.73596355273635,0.808,0.121,2.14262507747747e-153
"Rxrg",3.57368215534285e-152,1.18619423007419,0.759,0.103,8.75194759843464e-148
"Hmgcs2",6.71679537317227e-152,1.03367052525036,0.399,0.008,1.64494318688989e-147
"Entpd1",2.54279012977258e-149,0.92748294135213,0.463,0.019,6.22729302781304e-145
"5930403L14Rik",9.71696560578675e-148,1.23324319329304,0.67,0.073,2.37968487685718e-143
"Pthlh",1.22628093650205e-145,0.342456926147568,0.34,0.002,3.00316201349352e-141
"9430041J12Rik",2.2165068251743e-145,0.277361997914252,0.448,0.017,5.42822521485185e-141
"Prdm16",3.29362360286983e-145,0.831030392712359,0.695,0.079,8.06608420342821e-141
"Ahnak",4.717490387242e-142,0.870164514730636,0.591,0.049,1.15531339583557e-137
"Sparc",2.34940758113984e-141,3.26180668427418,1,0.403,5.75369916621148e-137
"Nfib",1.42067543327236e-136,1.03093876139653,0.916,0.189,3.479234136084e-132
"Rgcc",3.1273634472831e-134,3.07335878931797,0.877,0.206,7.6589130823963e-130
"Atp10b",9.14844791775118e-132,0.670461253499969,0.468,0.026,2.24045489505726e-127
"Wwtr1",2.03238818723368e-131,1.41465771964819,0.852,0.186,4.97731867053528e-127
"Axl",2.00567733849065e-130,0.901511420404639,0.813,0.143,4.9119038019636e-126
"Scrg1",7.27373865646585e-130,0.359902353890454,0.473,0.029,1.78133859696849e-125
"Thbs2",1.9301012964931e-129,0.659250563045806,0.409,0.017,4.72681807511161e-125
"Nab2",1.15668272677068e-128,0.500845393419593,0.68,0.086,2.83271599786139e-124
"Fabp7",1.41324817163596e-128,5.80142533249893,1,0.561,3.46104477233648e-124
"Col4a1",1.34507112639963e-127,2.63495680011031,0.985,0.332,3.29407918855269e-123
"Col28a1",5.4293906504033e-127,0.561882970653471,0.325,0.005,1.32965777028377e-122
"Ednrb",5.6017751232043e-127,3.83161634421582,0.99,0.443,1.37187472767273e-122
"Lpar1",7.86407758497906e-125,1.20491721761638,0.611,0.072,1.92591260056137e-120
"Sostdc1",1.64342526007007e-123,0.63705392039162,0.305,0.004,4.0247484619116e-119
"E130114P18Rik",1.49980756250834e-122,0.975852134159706,0.764,0.145,3.67302872058291e-118
"Cmtm5",3.08095507271904e-121,1.28803029134009,0.872,0.243,7.54525897308892e-117
"Zfp36l1",3.65650438895194e-121,1.56990589273104,0.995,0.407,8.9547792485433e-117
"S100a11",3.0111568549931e-119,0.437979697980394,0.97,0.418,7.37432313787811e-115
"Cdh19",2.97272926757971e-118,1.16808627320869,0.808,0.15,7.28021397630271e-114
"Postn",7.23502905332534e-118,3.16868134003818,0.961,0.362,1.77185861515937e-113
"Esr1",1.50661721572783e-116,1.16017334775043,0.424,0.025,3.68970556131744e-112
"Hes5",1.96616052279714e-116,1.70206802630207,0.645,0.096,4.81512712033021e-112
"Serpine2",8.21057032404539e-116,2.48218442421241,1,0.697,2.01076867235872e-111
"Timp3",1.84140709120479e-115,2.88890946357576,0.961,0.364,4.50960596636052e-111
"Dlk1",3.33613026430164e-112,0.682347603040355,0.759,0.154,8.17018301727472e-108
"Frem2",4.56639691253796e-111,1.0419388220514,0.704,0.118,1.11831060388055e-106
"Foxd3",4.23227424378171e-110,0.847801798890035,0.941,0.335,1.03648396230214e-105
"H2afv",2.51173456665225e-109,1.75596972290209,1,0.917,6.15123795373135e-105
"Dbi",9.5618623707227e-109,2.29570738088377,1,0.993,2.34170009458999e-104
"Lama4",7.94989038578558e-108,1.94278435255606,0.97,0.45,1.94692815547889e-103
"Cyp2j6",1.52834283958949e-106,1.77519560844356,0.877,0.307,3.74291161415467e-102
"Mcam",1.23978114483764e-105,2.05073165014385,0.931,0.344,3.03622402370737e-101
"Fbln2",1.84831965404283e-105,1.25023036065321,0.911,0.265,4.52653483275088e-101
"Plp1",2.4052234642631e-105,2.51543874388369,0.99,0.474,5.89039226398034e-101
"Slc39a1",3.52899713920521e-105,0.981184194924166,1,0.679,8.64251399391356e-101
"Gjb2",9.14138904480271e-105,0.390857290708984,0.369,0.02,2.23872617707218e-100
"Frzb",6.2907115541165e-103,2.30254382394627,0.783,0.206,1.54059525960313e-98
"Hmgn2",1.4233958005868e-101,0.623955998558777,0.995,0.838,3.48589631563707e-97
"Laptm4a",1.87968905422436e-100,1.38947297569752,1,0.985,4.60335849379547e-96
"Tmprss5",1.29324506074059e-99,0.426216597097923,0.438,0.038,3.16715715375369e-95
"Sox10",2.27205630869597e-99,1.74981406371974,0.995,0.409,5.56426589999643e-95
"Aqp1",4.08946317746641e-99,0.551788066820784,0.345,0.018,1.00150953216152e-94
"Sepp1",5.17844799622198e-99,2.25274585353934,0.956,0.416,1.26820191427476e-94
"Lamb1",6.234541429396e-99,1.82073708640568,0.966,0.428,1.52683919605908e-94
"Marcks",1.18117078587379e-98,1.48263756262665,1,1,2.89268725460491e-94
