"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hoxc10",9.77700884013289e-274,0.688930594568076,0.888,0.078,2.39438946494854e-269
"Hoxd10",1.15243348252034e-263,0.650521743969226,0.788,0.057,2.8223095986923e-259
"Hoxa10",9.58987771829993e-245,0.702627998097706,0.835,0.084,2.34856105321165e-240
"Erbb3",3.03528271931838e-238,1.75309830541896,0.981,0.248,7.43340737961071e-234
"Hoxd9",1.00536794137573e-220,0.309220048288832,0.777,0.076,2.46214608842917e-216
"Hoxd11",2.91513949758639e-211,0.447855023620354,0.57,0.02,7.13917662958906e-207
"Plcg2",5.16041347683121e-211,1.62182146042641,0.881,0.152,1.26378526047596e-206
"Ajuba",8.4389371915172e-200,1.20873621237975,0.923,0.226,2.06669571820256e-195
"Fndc3c1",4.52823194523709e-194,1.42071002883054,0.991,0.261,1.10896400338856e-189
"Gas1",8.36764161241308e-189,1.57304315238341,0.998,0.48,2.04923543087996e-184
"Grb10",2.20931156352114e-188,1.89645722931756,1,0.994,5.41060401906327e-184
"Gli3",2.33588163622841e-188,1.27334084667109,0.977,0.323,5.72057412712337e-184
"Spata13",1.69631636008461e-182,1.46745876135767,0.94,0.264,4.1542787658472e-178
"Cbx5",1.5232383413535e-181,1.41239579738819,1,0.993,3.73041069797471e-177
"Nedd9",7.70870131782535e-181,1.86057263434681,0.965,0.382,1.88786095273543e-176
"Vars",1.10284352904919e-180,1.55563650989632,1,0.967,2.70086380264147e-176
"Col18a1",2.36521338707615e-180,1.51601316519325,0.977,0.38,5.79240758494949e-176
"Ccnd2",2.59470999519621e-180,1.98049573724829,1,0.455,6.35444477823551e-176
"Hmcn1",4.2447733007526e-180,0.907816286044142,0.856,0.18,1.03954498135431e-175
"Notch3",5.98860871893466e-180,0.775158439980043,0.933,0.271,1.4666102752671e-175
"Mybbp1a",6.61116844229734e-178,1.74193288079139,0.998,0.933,1.61907515151862e-173
"Moxd1",3.25936104897797e-176,1.21014814118082,0.812,0.14,7.98217520894705e-172
"Hmga2",1.2593289163625e-175,1.22730752677575,1,0.352,3.08409651617176e-171
"Spon1",1.64118165577414e-172,2.21847482143815,0.958,0.393,4.01925387499087e-168
"Ipo5",1.79449395012422e-171,1.62666137613814,0.998,0.967,4.39471568385422e-167
"Mcm3",3.50753494673439e-171,1.64483979875813,1,0.367,8.58995308455251e-167
"Ets1",3.68806476418845e-171,1.49993960403301,0.956,0.288,9.03207060749752e-167
"Arhgef26",4.13014738158318e-170,1.46923740405745,0.986,0.484,1.01147309374972e-165
"Fhdc1",3.56917875221172e-168,1.11252328241856,0.881,0.286,8.74091876416651e-164
"Bub1b",3.84508636353209e-167,1.75420827617863,0.949,0.342,9.4166165042901e-163
"Aif1l",1.41795292985069e-166,1.19594145822407,0.972,0.313,3.47256672520433e-162
"Col2a1",1.47073986171958e-166,1.56423702606159,0.979,0.485,3.60184192135126e-162
"Shmt1",1.59102287839799e-166,1.02464076207182,0.97,0.306,3.89641502919667e-162
