"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cbln4",3.07161203774037e-138,0.668861217518709,0.703,0.049,7.52237788042616e-134
"F2rl2",4.16636558666166e-137,0.444412959319938,0.568,0.026,1.02034293217344e-132
"Plekhd1",1.54858131947348e-130,1.66813863494913,1,0.153,3.79247565139056e-126
"Dio3",1.87121491829631e-110,0.943962589403366,0.811,0.102,4.58260533490765e-106
"Pmfbp1",9.72623863549262e-102,0.335132832316643,0.748,0.086,2.38195584183214e-97
"Prokr2",2.78683234578727e-101,0.3906804661201,0.441,0.022,6.82495241483302e-97
"Dio3os",3.72511467078233e-98,0.273358094937322,0.604,0.054,9.12280582874593e-94
"Ppef1",4.8431168748452e-95,0.901564561236507,0.802,0.109,1.18607932264959e-90
"Lrrc55",4.45389877525678e-93,0.316018674985861,0.739,0.092,1.09075981006039e-88
"Cadps2",1.24185299466635e-92,0.635178523628139,0.838,0.131,3.0412979839379e-88
"Gpr64",3.20213022714128e-88,1.75655110333098,0.991,0.238,7.84201692626899e-84
"Ly6h",2.14032112627291e-85,0.710052095572586,1,0.297,5.24164643824236e-81
"Avil",7.52347235831114e-84,1.23104467106613,0.856,0.164,1.8424983805504e-79
"Clu",1.00183334429459e-83,1.07635970826647,0.829,0.142,2.45348986017745e-79
"Stx11",1.1140897772488e-82,0.669879351180824,0.829,0.142,2.72840586448231e-78
"Itga3",1.82840405562632e-78,0.674146533061553,0.874,0.189,4.47776153222886e-74
"Sptb",3.21964215345621e-76,0.416032284417117,0.739,0.123,7.88490363381425e-72
"Lix1",4.20295695165594e-76,2.1035550567638,1,0.393,1.02930415746054e-71
"Lingo2",6.74474193126868e-75,0.52425788782759,0.829,0.157,1.6517872989677e-70
"Vgf",1.01885015212701e-74,0.431727252442033,0.901,0.229,2.49516402255906e-70
"Gabrg2",2.18765681052733e-74,1.08771377049428,0.982,0.294,5.35757152898144e-70
"Lrfn5",4.27595765347725e-74,0.966786576067483,0.991,0.309,1.04718202933658e-69
"Ppm1h",5.79058580386316e-74,2.6464367091351,1,0.493,1.41811446336609e-69
"Dbpht2",6.88304895296958e-74,0.83410596144495,0.919,0.214,1.68565868858225e-69
"Tmem130",1.00236353955773e-73,0.609332237825354,0.829,0.167,2.45478830837688e-69
"Car10",1.05071817693936e-73,0.962321792213309,0.937,0.227,2.5732088153245e-69
"Ntrk2",1.3716381522907e-73,1.87589609205092,1,0.349,3.35914183495992e-69
"Bnc2",4.28208325484194e-71,0.769566043639784,0.991,0.25,1.04868218911079e-66
"Ntng1",3.19265160010372e-68,0.565209874099793,0.829,0.182,7.81880376865402e-64
"Stk32b",1.87332487824822e-67,0.587122299744993,0.838,0.184,4.58777262682988e-63
"Map7",6.55636442794535e-67,0.553223398501926,0.793,0.177,1.60565364840382e-62
"Sytl2",6.72026121037259e-67,0.472467623661194,0.802,0.16,1.64579197042025e-62
"Dusp15",1.48184277413703e-66,0.46863186142091,0.973,0.257,3.62903295386158e-62
"Rasd2",2.40700008651818e-66,0.463902288541437,0.324,0.02,5.89474321188301e-62
"Pcsk1n",9.28044490840259e-66,1.35045560563053,0.982,0.468,2.27278095806779e-61
"Pid1",9.55297260168655e-66,1.18639998233001,0.991,0.28,2.33952299015304e-61
"Cpne8",2.17905549653944e-65,0.600356814701016,0.937,0.266,5.33650691102508e-61
"Stmn2",2.8411464519145e-65,1.48406652212599,1,0.636,6.95796766073862e-61
"Nrsn2",3.32211841435128e-65,0.269114101553524,0.658,0.108,8.13586799674629e-61
"Dmtn",1.57771318844171e-64,0.897714133343628,0.928,0.293,3.86381959849375e-60
"1700086L19Rik",1.71485269444304e-64,0.461368374196821,0.829,0.179,4.19967424869099e-60
"Dner",2.38833786758511e-64,1.18286446924677,0.991,0.341,5.84903943771593e-60
"Rtn1",2.72382626047407e-64,1.61205470963608,1,0.769,6.67065051190099e-60
"Prph",1.35002448253744e-63,2.47323205697425,1,0.47,3.3062099577342e-59
"Plcb1",2.38835969797174e-63,1.1698883623594,0.964,0.375,5.84909290033278e-59
"Sncg",3.83088340763677e-63,2.0576169414004,1,0.558,9.38183346530246e-59
"Rap1gap",3.3180630557002e-62,0.634020108268397,0.955,0.317,8.12593642340978e-58
"St8sia1",3.34579217425794e-62,0.735037712993377,0.982,0.321,8.19384503475769e-58
"Syt5",1.96160797805643e-61,0.470587116125577,0.883,0.232,4.8039779382602e-57
"Cntn4",4.2094434136218e-61,0.447642632939627,0.649,0.108,1.03089269199598e-56
"Kcna1",1.34715731125597e-60,1.27559736091494,1,0.358,3.29918825526587e-56
"S100a10",2.34175350106377e-60,1.54843515113918,1,0.886,5.73495432410518e-56
"Plxna4",3.47728196595406e-60,1.78149996380782,1,0.656,8.5158635346215e-56
"Spock1",4.12061249204462e-60,1.43404434486966,1,0.459,1.00913799930173e-55
"Syt1",5.77856867775408e-60,1.19678827956616,1,0.485,1.41517146918197e-55
"Clvs2",9.10197983575405e-60,0.350862660665087,0.829,0.19,2.22907486177617e-55
"Cadm2",1.40287753740062e-59,0.583766255117926,0.883,0.239,3.43564708909413e-55
"Stmn3",1.66510396908779e-59,1.60787309457524,1,0.625,4.077839620296e-55
"Pla2g7",1.68218606689871e-59,1.14654549836589,0.811,0.202,4.11967367783493e-55
"Pou6f2",1.72315111951927e-59,0.491591453133035,0.784,0.187,4.21999709170268e-55
"Ociad2",2.31457704405988e-59,0.51555632649536,0.865,0.241,5.66839918090265e-55
"2900011O08Rik",2.4650242411713e-59,1.18770494373531,1,0.476,6.03684436662851e-55
"Ablim1",2.5401639917547e-59,1.37006874649646,1,0.518,6.22086161580725e-55
"Tppp3",3.12566446514524e-59,1.75602557521926,1,0.711,7.65475227514069e-55
"Resp18",3.19359110166441e-59,0.688713851953,0.982,0.405,7.82110460797615e-55
"Fkbp1b",6.91466505398701e-59,1.91797281886239,1,0.531,1.69340147172142e-54
"Uchl1",1.05750506908387e-58,1.6677764032239,1,0.939,2.58982991418639e-54
"Dok4",1.20124782756131e-58,1.42062744354387,0.973,0.41,2.94185592969764e-54
"Dok5",2.58288260533093e-58,1.19166427245976,1,0.438,6.32547950045545e-54
"Tubb2a",2.92271020605077e-58,1.46292728227971,1,0.813,7.15771729461834e-54
"Ndrg4",3.4330222165895e-58,1.524450922131,1,0.629,8.40747140842768e-54
"Oprl1",9.18614897488983e-58,0.812627938172807,0.928,0.266,2.24968788395052e-53
"Cpe",9.98546711740201e-58,1.52508789709388,1,0.757,2.44544089705175e-53
"Etv1",2.6254624187618e-57,0.571802369792159,0.964,0.323,6.42975746354764e-53
"Pgm2l1",4.08450389223094e-57,1.33415093764754,1,0.672,1.00029500320736e-52
"Ptpro",4.15379040845454e-57,1.2457647199043,0.991,0.453,1.01726327103052e-52
"Celf5",4.36942280057454e-57,0.446147850144632,0.973,0.382,1.0700716438607e-52
"Atp2b2",5.28580877515894e-57,0.800330819126751,1,0.425,1.29449456903642e-52
"Pfkp",6.88330316680105e-57,1.34961021051819,1,0.558,1.68572094554958e-52
"Slc7a14",1.77710797242243e-56,0.380404044992141,0.784,0.177,4.35213742446254e-52
"Arhgap22",1.95152269922622e-56,0.601912873783363,0.982,0.335,4.779279090405e-52
"Parvb",2.28238574306555e-56,1.18686181245463,1,0.613,5.58956268476753e-52
"Scn7a",2.85808531717683e-56,1.09498347374416,0.991,0.353,6.99945094176605e-52
"Arhgdig",3.02228876313889e-56,1.0386745229155,0.991,0.481,7.40158518092714e-52
"Sv2c",7.10286870771558e-56,0.74261894090464,1,0.422,1.73949254651955e-51
"Ccdc184",1.27365489684431e-55,0.413840206356704,0.766,0.171,3.11918084237171e-51
"Fam57b",1.39014409334853e-55,0.525373815232629,0.982,0.388,3.40446288461056e-51
"Ube2ql1",1.79610458566428e-55,1.11603575112496,1,0.411,4.39866013029183e-51
"Snhg11",1.94067401544209e-55,1.88645616664409,1,0.727,4.75271066381768e-51
"Palm2",2.10030576083778e-55,0.706225988329979,0.712,0.163,5.14364880829173e-51
