"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Islr2",0,1.5547225561103,0.772,0.015,0
"Rd3",2.2837870451306e-183,1.40011372432298,0.63,0.035,5.59299447352485e-179
"Gal",2.89230852270134e-167,2.14502967205729,0.646,0.047,7.08326357209558e-163
"Gnat3",2.94670977099394e-161,0.475693798971281,0.444,0.011,7.21649222916416e-157
"Gpr56",1.8320193658034e-141,2.24870060367843,0.931,0.213,4.48661542685252e-137
"Scn10a",2.22874215735473e-115,1.33609498876029,0.704,0.12,5.45818954336173e-111
"Runx1",1.23169379223152e-106,0.773660025807648,0.529,0.058,3.01641809717499e-102
"Stra6",1.26301463101118e-96,1.4013712770429,0.889,0.299,3.09312283134638e-92
"Nalcn",3.61738451876132e-92,0.502786026979506,0.598,0.084,8.85897468644648e-88
"Cacna2d2",1.92769017395005e-87,0.335872677717114,0.778,0.198,4.72091323600368e-83
"Prdm12",1.33056368921337e-84,1.53438460181361,1,0.614,3.25855047488355e-80
"Nfia",1.78860119314022e-84,1.1212951313192,0.942,0.326,4.3802843220004e-80
"Pcdh15",6.69241289093659e-82,0.885910081745809,0.503,0.07,1.63897191699037e-77
"Pirt",9.0188923845768e-82,1.77800062045741,0.852,0.289,2.20872674498286e-77
"Kcnh6",3.39040692578395e-78,0.951819822634181,0.794,0.283,8.30310656124489e-74
"Tlx3",3.8324291923957e-75,0.75464907953372,0.995,0.528,9.38561909217706e-71
"Htr3a",2.21506191713525e-74,0.35259553633958,0.259,0.012,5.42468663506423e-70
"Ndufv3",5.74589239222997e-74,1.02052977258808,1,0.982,1.40716904685712e-69
"Tmsb4x",1.91386646356814e-73,1.45620042984594,1,1,4.68705896927836e-69
"Bcl11b",8.75599368680867e-73,0.601511371024911,0.862,0.274,2.14434285389944e-68
"Atp2b3",1.09927157717355e-71,0.487434287499562,0.677,0.168,2.69211609249802e-67
"Bcl11a",1.59213193804936e-71,0.876283997162324,0.899,0.355,3.89913111628288e-67
"Basp1",3.49414169845851e-69,1.08281019856174,1,0.94,8.55715301952489e-65
"Gm6537",5.13952659376817e-68,0.744451644802732,0.534,0.104,1.25867006281382e-63
"Ntrk1",2.08348449409028e-66,2.2444668937492,0.937,0.482,5.1024535260271e-62
"Gng8",5.40497888587562e-66,0.338752752696138,0.619,0.157,1.32367932915094e-61
"Padi2",1.0316065333761e-65,1.02431890546797,0.783,0.305,2.52640440023807e-61
"Nhlh2",6.71516816551681e-64,1.66773415181838,1,0.605,1.64454468373507e-59
"Flrt1",1.10576181195323e-63,0.916181468433581,0.852,0.314,2.70801067747346e-59
"Prmt8",1.37147517145885e-63,0.818501586000841,0.698,0.211,3.35874269490273e-59
"Cplx2",1.10457970013889e-62,0.997743566750269,0.984,0.679,2.70511568564015e-58
"Stmn1",1.24093578052055e-62,0.687271430363657,1,0.992,3.03905172649482e-58
"Dusp14",4.49559415030821e-62,0.57754607817277,0.556,0.126,1.10097100741048e-57
"Fabp5",1.93003936706081e-60,0.633906343745005,1,0.996,4.72666640993193e-56
"Zfhx2",4.22773540562907e-60,0.581065169714214,0.942,0.597,1.03537240083856e-55
"Rbfox3",2.44283320648726e-59,0.740879797635657,0.958,0.554,5.98249852268729e-55
"Prrxl1",1.12680414933812e-58,0.48844550031702,0.889,0.465,2.75954336172906e-54
