"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm11549",5.54856162832063e-198,0.985715853193466,0.707,0.019,1.35884274277572e-193
"Fam43b",1.9134651464463e-183,0.258834342630107,0.646,0.017,4.68607614364698e-179
"Frmpd4",4.76042914696947e-169,1.09271188582956,0.988,0.074,1.16582909809282e-164
"Gm20597",6.14556135565971e-153,1.60101092120184,0.927,0.072,1.50504797600106e-148
"Npy1r",4.04551531384517e-131,0.707771028507392,0.744,0.047,9.90746700360682e-127
"Fam19a4",5.14991369676397e-129,2.75787101781202,1,0.117,1.2612138643375e-124
"Pcdh19",1.33913701532808e-128,1.16934766587458,0.756,0.052,3.27954655053846e-124
"Chia1",3.63518250357677e-127,0.32170323097573,0.683,0.038,8.90256195125951e-123
"Elovl7",1.32475061376823e-125,0.648908320004687,0.854,0.07,3.2443142531184e-121
"Mchr1",1.75668840544143e-121,0.387240782775932,0.659,0.038,4.30212990492607e-117
"Vwa2",4.06351136375741e-117,0.414420810420123,0.756,0.057,9.95153932984189e-113
"Dpp10",6.09511099409875e-117,0.310116284962157,0.61,0.033,1.49269268245478e-112
"Galnt14",3.37443245320658e-115,0.833263553443343,0.976,0.113,8.26398507790291e-111
"Chd5",4.04222646894679e-113,0.517041626200775,0.976,0.118,9.89941262245069e-109
"Hs3st2",1.18520248284389e-108,0.528849323869643,0.683,0.048,2.90256088048469e-104
"Smad9",3.8538937930927e-106,0.265041447026434,0.659,0.045,9.43818589928401e-102
"Pcp4",6.35504493393914e-104,2.44875000652692,1,0.165,1.5563505043217e-99
"Stac",1.13804696783127e-100,0.82200546251862,0.951,0.133,2.78707702421878e-96
"Lhfpl1",8.9017970441899e-100,0.5100507851908,0.732,0.062,2.18005009612211e-95
"Cd44",1.36937644287017e-97,1.80525438528454,0.963,0.15,3.35360290858904e-93
"Rgs11",1.9514697347062e-96,0.599651628409364,0.89,0.113,4.77914938029547e-92
"Nyap2",5.11856142691109e-96,0.314617889544706,0.854,0.1,1.25353569345053e-91
"Plekhd1",6.05928926162527e-96,1.55184000976091,1,0.164,1.48391994017203e-91
"Ppef1",2.83879492375473e-94,0.911438211300468,0.915,0.114,6.95220876827535e-90
"Sfrp4",3.73463042674886e-92,0.763269006640488,0.963,0.153,9.14610991510797e-88
"Grm3",2.89259481635821e-88,1.02806272498681,0.988,0.172,7.08396470526125e-84
"Plcd4",1.00396759663954e-82,0.341022521708741,0.683,0.071,2.45871664417024e-78
"Wnt9a",2.86444252448e-81,0.273130919289063,0.695,0.07,7.01501974245152e-77
"D430041D05Rik",9.09922373921767e-81,0.417370454076136,0.78,0.102,2.22839989373441e-76
"Avil",1.50538804118149e-80,1.99672661151091,0.915,0.171,3.68669531285347e-76
