"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Csn3",1.25707646867969e-147,0.700239919683681,0.68,0.079,3.07858027179657e-143
"Gsta4",4.87531800790736e-142,1.50808805582815,0.978,0.308,1.19396538013651e-137
"Leprel1",3.05992595355837e-134,0.322940124152661,0.516,0.036,7.49375866026446e-130
"Prtg",1.34501444736978e-131,1.81394968581247,0.987,0.434,3.2939403816086e-127
"Npm1",1.21389764458224e-126,2.10851663243901,1,1,2.97283533158192e-122
"AI506816",3.85569428142704e-124,1.23945409584916,0.938,0.365,9.44259529521481e-120
"Prdx1",6.00098690372197e-123,1.56810139179913,1,1,1.46964169272151e-118
"Snai1",2.57399844343686e-122,0.690514332883442,0.822,0.169,6.30372218797686e-118
"Ran",1.16181919425853e-121,1.39789292094434,1,1,2.84529520673915e-117
"Hmgn1",2.69788801268674e-120,1.29941394403173,1,1,6.60712774306983e-116
"Eif5a",1.75724650295648e-119,1.33087544838474,1,1,4.30349668574042e-115
"BC064078",3.29290784120808e-119,0.32242808345272,0.582,0.067,8.06433130311858e-115
"Ranbp1",2.85358754177976e-118,1.39540590028944,1,1,6.98843588981864e-114
"Cacybp",3.44479878213574e-118,1.51153761968815,1,0.994,8.43631221745043e-114
"Serbp1",1.18012259840737e-117,1.22010164717962,1,1,2.89012024349965e-113
"Cnbp",2.05218326022441e-117,1.53888298936626,1,0.999,5.02579680428959e-113
"Rpl4",3.97129475661921e-117,1.03147499880911,1,1,9.72570085896045e-113
"Ptges3",7.05396039304357e-117,0.971731850529965,1,1,1.72751490025637e-112
"2810417H13Rik",2.40699930799867e-115,1.38404995690288,1,0.456,5.89474130528874e-111
"Dut",2.95113681789302e-115,1.71501625175697,1,0.962,7.22733406702001e-111
"Cdk18",4.62989964590219e-115,0.747332855537867,0.871,0.205,1.13386242328145e-110
"Hspe1",1.15158304676749e-114,0.965712580884303,0.996,0.944,2.82022688153357e-110
"Eef1d",3.14728817243833e-114,1.26605225739031,0.996,0.991,7.70770873430148e-110
"Dctpp1",1.19499959212536e-113,0.977994752727566,1,0.892,2.92655400111501e-109
"Pa2g4",1.54608620713765e-113,1.54344842922012,1,0.995,3.78636512128012e-109
"Ncl",3.1695257391325e-113,1.66635533883765,1,1,7.76216853513549e-109
"Mif",3.17731729137718e-113,1.06934646586372,1,0.998,7.78125004658272e-109
"Anp32b",3.61018372231432e-113,1.38507976025553,1,0.997,8.84133993594777e-109
"Eef1b2",8.27486772257397e-113,1.28765955125532,1,1,2.02651510525836e-108
"Hspd1",8.43878894593591e-113,1.32594773852467,1,1,2.0666594128597e-108
"Pfn1",1.28635592275158e-112,1.2451419663614,1,1,3.15028565481863e-108
"Rps3a1",2.72750054657875e-112,0.951564625747738,1,1,6.67964883857137e-108
"Rps11",1.80972159151663e-111,1.36510800911626,1,1,4.43200817762423e-107
"Banf1",2.30905022954408e-111,1.16969080018007,1,0.999,5.65486401215345e-107
"Cks1b",2.84922075823373e-111,1.34452416402738,1,0.972,6.97774163691441e-107
"Slc25a5",2.86794072805278e-111,0.991489502586847,1,0.997,7.02358684300126e-107
"Rps27l",3.88771864064901e-111,1.222283988571,1,0.993,9.52102295094942e-107
"Eif2s1",5.50388030648347e-111,1.13690979442916,1,0.988,1.3479002870578e-106
"Tipin",1.08943109984755e-110,1.61448580098766,1,0.648,2.66801676352665e-106
"Gnb2l1",2.07850379855785e-110,1.19671256393499,1,1,5.09025580266818e-106
"Nhp2",3.18133295031791e-110,1.33937482927711,1,0.973,7.79108439532856e-106
"Snrpb",4.43815133726829e-110,1.22588551251593,1,0.999,1.08690326249701e-105
"Snx5",6.07021376453599e-110,1.65762448609397,1,0.909,1.48659535093486e-105
"Alx1",5.46269918050305e-109,0.70721518343529,0.591,0.081,1.3378150293052e-104
"Nap1l1",5.57893213574608e-109,1.40502658417351,1,0.989,1.36628048004421e-104
"C1qbp",5.91227890910468e-109,1.30815443417617,1,0.995,1.44791710483974e-104
"Rplp0",7.37908294098681e-109,1.10612759679706,1,1,1.80713741224767e-104
"Birc5",8.90516995941125e-109,1.36890309778422,1,0.432,2.18087612305982e-104
"Ldha",1.88124111019341e-108,1.72015103321265,1,0.998,4.60715947886367e-104
"Hsp90aa1",2.53421722183756e-108,0.711132703039558,1,1,6.20629797628019e-104
"Hat1",7.930835766212e-108,1.65236820803692,1,0.758,1.94226167914532e-103
"Fkbp3",1.56753885564727e-107,1.13960756114482,1,0.999,3.83890265748016e-103
"Odc1",1.9159167917492e-107,1.21100779708525,1,0.896,4.6920802229938e-103
"Rpl7",2.30954029777986e-107,1.00973911379583,1,0.999,5.65606418926289e-103
"Rplp1",2.94028883018461e-107,1.29546240586689,1,0.999,7.2007673451221e-103
"Rpl8",4.62934386648219e-107,1.23639195748501,1,1,1.13372631290149e-102
"Denr",5.06751528352693e-107,1.03406317540559,1,0.988,1.24103449293574e-102
"Phf5a",6.12040530952304e-107,1.15448515372213,1,0.992,1.49888726030219e-102
"Dek",6.95180700009526e-107,1.49943150859392,1,0.972,1.70249753432333e-102
"Eif4ebp1",1.63359297837892e-105,0.969144742789306,1,0.838,4.00066920404996e-101
"Dcakd",2.49136192791615e-105,1.04339880514295,1,0.997,6.10134536146665e-101
"Lsm2",3.28764953935916e-105,1.2197541520826,1,0.943,8.05145372189058e-101
"Lyar",4.23247294079952e-105,1.09905336268175,0.996,0.827,1.0365326232018e-100
"Ppa1",9.27590550211845e-105,1.24625084910382,1,0.988,2.27166925746881e-100
"Ssb",1.02706285992335e-104,1.08730585151239,1,1,2.51527694395228e-100
"S1pr2",1.21192353478328e-104,0.93529998856925,0.96,0.259,2.96800073668426e-100
"Snrpd1",1.37629115579363e-104,1.03702526957254,1,0.997,3.3705370405386e-100
"Magoh",1.54038338517948e-104,1.11074051561512,1,0.985,3.77239891030455e-100
"Prdx6",2.08941197630933e-104,1.30441359925682,1,0.997,5.11696992998156e-100
"Hsp90ab1",6.82983679754308e-104,0.607314385242629,1,1,1.6726270317183e-99
"Rps3",7.17558951424077e-104,1.10661940459395,1,1,1.75730187203757e-99
"Rbpms",1.50015561144903e-103,0.861210447786822,0.96,0.406,3.67388109243868e-99
"Dpy30",3.21540524331373e-103,1.00349046512615,1,0.987,7.87452744087532e-99
"Lsm3",3.76923342999232e-103,1.08846853158606,1,0.983,9.2308526700512e-99
"Lsm8",9.99531581682983e-103,1.18448785439806,1,0.971,2.44785284354163e-98
"Rps5",1.1492780858654e-102,1.2267586876457,1,1,2.81458203228435e-98
"Rpl14",1.54277148128619e-102,0.784535652986349,1,0.998,3.77824735766988e-98
"Dhfr",1.86706048675965e-102,1.36288344346475,0.996,0.546,4.57243113207438e-98
"Dlx2",1.88760516658878e-102,0.704706904194029,0.76,0.17,4.62274505297592e-98
"Hnrnpab",6.06709141106967e-102,1.24179187948907,1,1,1.48583068657096e-97
"Alyref",6.14588856677915e-102,0.992951413876286,1,0.915,1.50512811000421e-97
"Nme2",9.89228752141131e-102,0.890909369717826,1,0.996,2.42262121399363e-97
"Lin28a",1.12833894163925e-101,0.960033637926429,0.978,0.507,2.76330206807452e-97
"Srsf2",1.28963517006865e-101,1.13811262104651,1,1,3.15831653149814e-97
"Snrpa1",1.50305249505601e-101,1.10723060771123,1,0.988,3.68097556039216e-97
"Gng5",1.7513890008442e-101,0.617448945336934,0.996,0.978,4.28915166306745e-97
"Mtap",1.78889773020901e-101,1.52793241315412,0.996,0.723,4.38101054128187e-97
"Sub1",3.73665325104124e-101,1.26022137131621,1,1,9.1510638118e-97
"Btf3",4.50900568512467e-101,0.740828538427813,1,0.998,1.10425549228703e-96
"Srsf7",5.42801035406653e-101,1.04239427985885,1,1,1.32931973571089e-96
"Mogat2",1.36889496076406e-100,0.697223253197885,0.764,0.172,3.35242375891117e-96
"Pcna",1.60187140108076e-100,1.46423466991604,1,0.947,3.92298306124678e-96
"Fkbp11",2.14031727919464e-100,0.358939177222872,0.844,0.251,5.24163701674767e-96
"Hnrnpc",2.60054533220442e-100,0.853390575789901,1,1,6.36873551856863e-96
"Spc24",3.5064808584651e-100,0.868583772869279,1,0.408,8.58737162238103e-96
"Ybx1",4.06081118892432e-100,0.845915515408636,1,1,9.94492660167566e-96
"Rsl1d1",1.3273270737762e-99,1.20736009812404,1,0.987,3.25062400367791e-95
"Snrpe",1.39681843865478e-99,1.01712512549503,1,0.998,3.42080835626557e-95
"Ppid",2.75291496301063e-99,0.95366176561566,1,0.976,6.74188874441304e-95
"Rpl18",2.86704137363037e-99,0.595174462280821,1,0.983,7.02138432402077e-95
