"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Skor2",6.38456410396248e-242,0.678880230713752,0.965,0.103,1.56357974906041e-237
"Runx3",4.01399115656518e-185,1.76073699549487,0.873,0.118,9.83026434242812e-181
"Pcp4",1.20836000587109e-144,0.716277938508979,0.833,0.123,2.95927365437829e-140
"Ache",1.7354731305772e-117,1.37182543980825,0.996,0.412,4.25017369678357e-113
"Ntrk3",1.24301835824077e-113,1.53044502423005,1,0.423,3.04415195933163e-109
"Cacna1h",1.46387816598603e-104,1.21721447582762,1,0.643,3.58503762849978e-100
"Mdga1",1.02803695520033e-102,0.850673824434854,0.961,0.314,2.51766250328561e-98
"Map1lc3a",2.86528062702388e-102,1.14158625312598,1,0.938,7.01707225558149e-98
"Cacna1e",3.86864671366561e-99,1.35465514437364,1,0.484,9.47431580176709e-95
"Lars2",2.06209718502822e-98,1.04295226979439,1,1,5.05007600613412e-94
"Cux2",2.80821533413179e-97,0.428876156958603,0.956,0.358,6.87731935328874e-93
"Epha10",1.68966135345689e-95,0.689606902331222,0.978,0.351,4.13798065461593e-91
"Stmn4",2.1288398020042e-95,1.24195098346849,1,0.494,5.21352867510829e-91
"Sept5",3.07104720868907e-95,0.844514956728149,1,0.694,7.52099461407954e-91
"Grm2",3.12839512429907e-94,1.41114705300495,1,0.485,7.66143965940843e-90
"Adcy2",4.30137659761282e-94,0.494183774036782,0.794,0.206,1.05340712875538e-89
"Rgs10",7.35534075040148e-94,0.998756057026683,0.956,0.431,1.80132294977332e-89
"Runx1t1",1.7205420689819e-93,1.37684669587091,1,0.783,4.21360752693667e-89
"Srebf2",2.8129960840523e-93,1.10815040277699,1,0.99,6.88902740984407e-89
"Cabp1",3.03315410384455e-93,0.524230090751718,0.978,0.502,7.42819440031529e-89
"Acot7",3.24706537904016e-93,1.29609737733647,1,0.914,7.95206311326934e-89
"Ttc9b",3.38357411116055e-93,0.435146381423645,0.991,0.45,8.28637299823219e-89
"Gng3",3.95202188057331e-93,1.33265781121655,1,0.619,9.67850158552403e-89
"Ptms",7.00622965942889e-93,1.00819348191551,1,0.983,1.71582564359413e-88
"Meis3",9.75005172350545e-93,0.957015368981534,1,0.962,2.38778766708648e-88
"Ccdc92",2.82929539911388e-92,1.07562462552448,1,0.577,6.92894443242989e-88
"Tmem145",8.15168035975244e-91,0.432060333272802,0.956,0.388,1.99634652010337e-86
"Sema6d",8.28012962850403e-91,1.33110269181759,1,0.62,2.02780374602064e-86
"Ckb",4.12004044864314e-90,1.01572890311836,1,0.94,1.00899790587271e-85
"Sncg",5.11491485904456e-90,1.73596356560681,1,0.532,1.25264264898001e-85
"Ndn",5.59643686665244e-90,1.26728931479791,1,0.936,1.37056738864318e-85
"Mapk8ip1",8.27625460903489e-90,0.877228505347766,1,0.75,2.02685475375264e-85
"Tusc5",2.56117900514748e-89,0.282436961371623,0.522,0.075,6.27232738360617e-85
"Atp8a2",7.64513041506919e-86,1.1399799327793,0.991,0.443,1.87229243865045e-81
"Uchl1",9.41538822417223e-86,1.42604109491563,1,0.935,2.30582857609978e-81
"Rab15",1.22290375213354e-85,1.15978965685863,0.899,0.347,2.99489128897504e-81
"Pou4f3",5.21936042144626e-85,0.407678889672026,0.978,0.36,1.27822136721219e-80
"Lin7a",1.70147595955829e-84,1.17278252758811,0.996,0.466,4.16691462495826e-80
"Parvb",1.32262999369976e-83,0.90995822178282,0.996,0.591,3.23912085457071e-79
"Olfm1",1.36263585730652e-83,1.34505567246394,1,0.767,3.33709521454368e-79
"Hivep3",1.66273950357338e-83,0.582106323004382,0.908,0.333,4.0720490442512e-79
"Tubb4a",1.7953310513941e-83,1.49125516869621,1,0.693,4.39676574486416e-79
"Pcsk1n",1.25207610043306e-82,0.662714995764186,0.991,0.437,3.06633436996056e-78
"Cacnb3",1.37266192212617e-82,1.11610166282683,1,0.729,3.36164904728699e-78
"Rltpr",2.49877978997868e-82,0.444616418434696,0.996,0.491,6.11951170565778e-78
"Nptx1",4.05206393219348e-82,0.557383307192451,0.662,0.149,9.92350456994182e-78
"Dync1i1",8.56180238945617e-82,1.05644504465537,0.952,0.392,2.09678540517782e-77
"Eno2",9.5191567922628e-82,0.585092279106665,0.846,0.281,2.33124149842516e-77
"Tecr",3.6322000929061e-81,0.806554884290913,1,1,8.89525802752704e-77
"Igfbp7",3.74197821183732e-81,0.262474291330974,0.636,0.136,9.16410464078961e-77
"Cntn2",8.91537286703205e-81,1.42197603108726,1,0.595,2.18337481513615e-76
"Kctd7",9.74946250553585e-81,0.685225760001441,0.855,0.296,2.38764336760573e-76
"Lphn1",1.69424983763525e-80,0.962745159417506,1,0.874,4.14921785236873e-76
"Actl6b",3.28164318532082e-80,0.762105796826437,1,0.478,8.0367441608507e-76
"Cic",6.33135405613647e-80,0.605627639845033,1,0.837,1.55054860834782e-75
"Ywhab",1.84168930353153e-79,0.786093721202449,1,1,4.51029710434872e-75
"Tlx3",6.8236960715307e-79,0.454746359858705,1,0.518,1.67112316791787e-74
"Sepw1",1.33600114604019e-78,0.949323995728175,1,1,3.27186680665241e-74
"Rap1gap2",3.88663800838911e-78,0.611145730758868,0.912,0.361,9.51837648254493e-74
"Tmem163",6.106797138104e-78,0.905385911700074,0.996,0.469,1.49555461912167e-73
