"","from","to","source","path","from.Role","to.Role"
"1","CCL4L1","CCR5","NicheNet","CCL4L1*CCR5","Ligand","Receptor"
"2","CCL3L3","CCR5","NicheNet","CCL3L3*CCR5","Ligand","Receptor"
"3","CCL13","CCR2","NicheNet","CCL13*CCR2","Ligand","Receptor"
"4","CCL13","CCR3","NicheNet","CCL13*CCR3","Ligand","Receptor"
"5","CCL15","CCR3","NicheNet","CCL15*CCR3","Ligand","Receptor"
"6","CCL8","CCR3","NicheNet","CCL8*CCR3","Ligand","Receptor"
"7","IL6","IL6ST","NicheNet","IL6*IL6ST","Ligand","Receptor"
"8","IL6","IL6R","NicheNet","IL6*IL6R","Ligand","Receptor"
"9","IL11","IL11RA","NicheNet","IL11*IL11RA","Ligand","Receptor"
"10","IL11","IL6ST","NicheNet","IL11*IL6ST","Ligand","Receptor"
"11","OSM","LIFR","NicheNet","OSM*LIFR","Ligand","Receptor"
"12","OSM","IL6ST","NicheNet","OSM*IL6ST","Ligand","Receptor"
"13","OSM","OSMR","NicheNet","OSM*OSMR","Ligand","Receptor"
"14","LIF","LIFR","NicheNet","LIF*LIFR","Ligand","Receptor"
"15","LIF","IL6ST","NicheNet","LIF*IL6ST","Ligand","Receptor"
"16","CNTF","CNTFR","NicheNet","CNTF*CNTFR","Ligand","Receptor"
"17","CNTF","LIFR","NicheNet","CNTF*LIFR","Ligand","Receptor"
"18","CNTF","IL6ST","NicheNet","CNTF*IL6ST","Ligand","Receptor"
"19","CLCF1","CNTFR","NicheNet","CLCF1*CNTFR","Ligand","Receptor"
"20","CLCF1","LIFR","NicheNet","CLCF1*LIFR","Ligand","Receptor"
"21","CLCF1","IL6ST","NicheNet","CLCF1*IL6ST","Ligand","Receptor"
"22","CTF1","LIFR","NicheNet","CTF1*LIFR","Ligand","Receptor"
"23","CTF1","IL6ST","NicheNet","CTF1*IL6ST","Ligand","Receptor"
"24","IL4","IL13RA1","NicheNet","IL4*IL13RA1","Ligand","Receptor"
"25","IL13","IL4R","NicheNet","IL13*IL4R","Ligand","Receptor"
"26","IL12A","IL12RB2","NicheNet","IL12A*IL12RB2","Ligand","Receptor"
"27","IL12A","IL12RB1","NicheNet","IL12A*IL12RB1","Ligand","Receptor"
"28","IL23A","IL12RB1","NicheNet","IL23A*IL12RB1","Ligand","Receptor"
"29","IL23A","IL23R","NicheNet","IL23A*IL23R","Ligand","Receptor"
"30","CSF2","CSF2RB","NicheNet","CSF2*CSF2RB","Ligand","Receptor"
"31","CSF2","CSF2RA","NicheNet","CSF2*CSF2RA","Ligand","Receptor"
"32","IL3","IL3RA","NicheNet","IL3*IL3RA","Ligand","Receptor"
"33","IL3","CSF2RB","NicheNet","IL3*CSF2RB","Ligand","Receptor"
"34","IL5","IL5RA","NicheNet","IL5*IL5RA","Ligand","Receptor"
"35","IL5","CSF2RB","NicheNet","IL5*CSF2RB","Ligand","Receptor"
"36","IL2","IL2RG","NicheNet","IL2*IL2RG","Ligand","Receptor"
"37","IL2","IL2RB","NicheNet","IL2*IL2RB","Ligand","Receptor"
