"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOD",0,2.42406338926621,0.835,0.252,0
"APOE",0,2.64697637329335,0.623,0.085,0
"CFD",0,1.83350858990615,0.916,0.379,0
"CXCL14",3.30706432911759e-302,1.8418158071528,0.823,0.301,5.73048106949496e-298
"MGP",4.33295347679899e-299,2.11386111728164,0.731,0.22,7.50814178459729e-295
"CXCL12",1.39802442883887e-275,2.08339849363386,0.691,0.198,2.42249673029199e-271
"GSN",1.39496232569536e-272,1.49328140921885,0.89,0.485,2.41719071796492e-268
"IGFBP7",3.89674733611548e-265,2.0833839380124,0.705,0.239,6.7522837840209e-261
"DCN",1.33384040483821e-260,1.455982871306,0.899,0.392,2.31127865350365e-256
"CCDC80",1.94253702129562e-254,1.6011677624196,0.836,0.339,3.36602815050105e-250
"CFH",2.96679212772253e-236,1.7076797730505,0.762,0.299,5.14085739891761e-232
"CALD1",1.54022576811416e-194,1.53967531580596,0.743,0.318,2.66890321098822e-190
"PLAC9",5.71617803906025e-175,1.36060791064003,0.765,0.342,9.9049933060836e-171
"PLA2G2A",1.87146837146195e-174,1.87455154824138,0.537,0.159,3.24288039406927e-170
"RARRES2",2.01352865686377e-162,2.02207819587209,0.376,0.07,3.48904245661355e-158
"IFITM3",5.96464896118512e-159,1.27780001840297,0.78,0.422,1.03355437199416e-154
"EFEMP1",2.47604618273562e-150,1.67348093133474,0.518,0.167,4.29049282544429e-146
"C1R",1.51267327450959e-143,1.29075556696467,0.732,0.333,2.62116025007021e-139
"C1S",1.37326759602299e-141,1.37865254945953,0.678,0.304,2.37959809038864e-137
"FGF7",9.50487514541731e-139,1.81360286417796,0.449,0.132,1.64700476519791e-134
"GPC3",9.17189656005332e-137,1.80264900399854,0.274,0.037,1.58930623592604e-132
"NOVA1",6.75282971433408e-136,1.65684657708338,0.502,0.173,1.17013033289981e-131
"SERPING1",7.93484901984218e-135,1.36213386033595,0.636,0.284,1.37495063815825e-130
"C3",2.27252414501436e-134,1.61718585970634,0.542,0.195,3.93782983848088e-130
"SOD3",4.50423465225656e-128,1.50512439793622,0.543,0.213,7.80493780543017e-124
"COL6A2",4.81920067319569e-124,1.09157564467102,0.799,0.384,8.35071092651349e-120
"ABCA8",9.08400323733535e-123,1.94754856284564,0.327,0.071,1.57407608096547e-118
"ADH1B",3.11345475195864e-122,1.84231469083484,0.331,0.074,5.39499439419393e-118
"MGST1",4.47178553099373e-118,1.65126361010788,0.397,0.119,7.74870996810593e-114
"SEPP1",1.44020863234894e-116,1.60389354269828,0.433,0.144,2.49559351813424e-112
"IGFBP6",1.44590074666015e-115,1.39693961919346,0.55,0.218,2.50545681381271e-111
"LRP1",3.31218091680287e-110,1.34075730455942,0.612,0.293,5.73934709263601e-106
"LUM",1.0002683729733e-106,1.33996546075219,0.568,0.258,1.73326503668814e-102
"PRRX1",2.13335684604591e-104,1.58156982765804,0.436,0.16,3.69668074282835e-100
"SERPINF1",7.59849300655596e-99,1.1555810348394,0.608,0.325,1.31666686817602e-94
"S100A13",3.84599099248613e-96,1.22877809982066,0.568,0.274,6.66433319177997e-92
"FBLN1",4.42856146955773e-96,1.21055541701679,0.587,0.277,7.67381131444963e-92
"ADIRF",2.39095583436288e-92,1.16426094111195,0.603,0.306,4.14304826978401e-88
"MT1M",6.0249339690094e-90,1.51308541033988,0.414,0.162,1.04400055814995e-85
"SPRY1",5.84406912849818e-89,1.46471491193361,0.419,0.163,1.01266029858617e-84
"ABI3BP",6.92082702607642e-88,1.46291026058125,0.432,0.177,1.19924090707852e-83
"NUPR1",1.88993805323482e-87,1.32833980803599,0.45,0.186,3.2748846586453e-83
"SRPX",4.52517395013452e-87,1.42917189271861,0.349,0.116,7.8412214207931e-83
"COL1A2",3.19414751301421e-82,0.907141492020162,0.751,0.388,5.53481881055102e-78
"THY1",7.49650568279928e-82,1.30093812878374,0.437,0.185,1.29899450471546e-77
"TIMP3",2.20742351161061e-80,1.41406202914016,0.412,0.168,3.82502346091886e-76
"NNMT",2.03589687432942e-79,1.19433729780349,0.529,0.266,3.52780210383802e-75
"CST3",2.21468171999676e-79,0.805565775560359,0.808,0.518,3.83760048441039e-75
"EPHX1",2.41117179461052e-76,1.40914983219487,0.272,0.078,4.1780784857011e-72
"PCOLCE",5.47354745398429e-76,1.14030603614368,0.532,0.261,9.48456302826398e-72
"HES1",3.98132681397916e-75,1.66080824196215,0.292,0.092,6.89884310326309e-71
"NFIA",5.39672134389488e-74,1.340637822804,0.353,0.131,9.35143874470104e-70
"COL6A1",1.81945130532383e-69,0.887026076024644,0.685,0.37,3.15274522186514e-65
"NFIB",3.45198183409466e-69,1.41454506743292,0.316,0.114,5.98159412211923e-65
"DAB2",3.6047838748145e-68,1.27269893542079,0.419,0.196,6.24636949827857e-64
"IGFBP4",1.37737286051238e-67,1.21606597493106,0.441,0.207,2.38671169269585e-63
"TMEM176B",1.35757914509796e-66,1.34287026662908,0.349,0.141,2.35241314262575e-62
"RNASE4",1.76003079127904e-65,1.27491131248163,0.336,0.135,3.04978135512833e-61
"LAPTM4A",2.81448246571096e-60,0.907554481067308,0.607,0.431,4.87693521658394e-56
