"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD69",0,2.6641963509329,0.749,0.125,0
"FOS",0,2.41788312418077,0.91,0.247,0
"DNAJB1",9.91563609721152e-219,2.37570583843383,0.665,0.16,1.71818142292481e-214
"JUNB",1.46454688123105e-212,1.91595776686594,0.862,0.364,2.53776683579716e-208
"ZFP36",1.94087993012444e-193,1.96894837406224,0.765,0.273,3.36315674291963e-189
"CD52",1.78139264932438e-188,1.59269155950186,0.884,0.304,3.08679718274928e-184
"DUSP2",2.8953771963533e-171,2.25747358259304,0.451,0.075,5.017109605841e-167
"CD3D",1.07604591694805e-167,1.63340203280762,0.732,0.194,1.86457236488758e-163
"SRGN",2.20921910021404e-157,1.72475845393785,0.705,0.23,3.82813485685089e-153
"DUSP1",2.62087413669241e-152,2.03353702035494,0.662,0.24,4.54145070406061e-148
"PTPRCAP",4.40253368832488e-151,1.60241633084982,0.66,0.175,7.62871037512935e-147
"FOSB",7.98358830239422e-140,2.26782747975378,0.395,0.071,1.38339618103887e-135
"GADD45B",6.76126721061709e-136,2.01270677325354,0.595,0.197,1.17159238225573e-131
"IL32",2.10749195237978e-125,1.26488099634176,0.852,0.393,3.65186205508369e-121
"BTG2",1.35782732701649e-124,2.1445350285359,0.438,0.104,2.35284319225417e-120
"HCST",1.20000614168462e-119,1.51945229372125,0.667,0.242,2.07937064231112e-115
"DDIT4",1.17246309727997e-118,1.97663602867662,0.397,0.083,2.03164405496672e-114
"CORO1A",3.89258233544151e-118,1.56665876812044,0.621,0.213,6.74506667085304e-114
"HSPA1A",1.56347356907544e-116,1.64636179685744,0.692,0.313,2.70918700049392e-112
"KLF6",8.52757699948475e-116,1.4083226398389,0.759,0.397,1.47765854247072e-111
"PPP1R15A",3.49509923218742e-112,1.682637189586,0.602,0.232,6.05630794953437e-108
"ALOX5AP",7.51046835690075e-111,1.40261922382424,0.637,0.22,1.30141395688376e-106
"RGS1",4.06289166684683e-108,1.91711068512578,0.44,0.116,7.04017868031218e-104
"JUN",1.32164844367066e-107,1.81177089017328,0.614,0.265,2.29015242319253e-103
"IER2",8.37582454668756e-104,1.87343800953201,0.511,0.173,1.45136287745002e-99
"NR4A2",2.3405208096453e-101,1.93131139329875,0.37,0.086,4.05565445895338e-97
"SLC2A3",1.71835292370385e-99,1.89352776888848,0.433,0.123,2.97756194619403e-95
"CD3E",1.08112309845358e-98,1.55953480191477,0.387,0.089,1.87337010500037e-94
"STK17B",1.61549472115543e-96,1.52918938675205,0.552,0.199,2.79932925281813e-92
"CXCR4",6.83403533744854e-93,1.87567170848832,0.394,0.105,1.18420164327308e-88
"TRAT1",1.4368893350771e-88,1.53839928534653,0.322,0.067,2.48984183982159e-84
"BATF",7.88388798074502e-87,1.43722119673936,0.416,0.113,1.3661201093035e-82
"CD2",1.17670759446836e-86,1.29731035696673,0.492,0.152,2.03899891969477e-82
"TOB1",1.41594720316388e-86,2.01625124040751,0.344,0.087,2.45355331364237e-82
"TNF",1.48355954950155e-86,1.71317804372709,0.384,0.102,2.57071198737628e-82
"TSPYL2",3.78618051986153e-85,1.84041945515717,0.305,0.066,6.56069360481607e-81
"BTG1",9.17374808033726e-85,1.30450273027358,0.662,0.342,1.58962706736084e-80
"ACAP1",2.37196961379332e-84,1.43002053466046,0.448,0.137,4.11014894678107e-80
"PTPRC",2.54450503837305e-82,1.18888724378268,0.646,0.279,4.40911833049282e-78
"H3F3B",6.35187512916583e-81,0.721782433784212,0.903,0.752,1.10065292238186e-76
"ID2",1.89572891069196e-78,1.28495019404294,0.676,0.371,3.28491905644703e-74
"LIME1",1.91476411640903e-78,1.51356050393805,0.327,0.078,3.31790326091357e-74
"LTB",3.10827477343454e-78,1.31190592426265,0.511,0.181,5.38601852740737e-74
"B2M",1.53074176633273e-77,0.449743381250595,0.984,0.935,2.65246933270136e-73
"ARHGDIB",6.54726424835015e-76,1.29325881468988,0.563,0.242,1.13450994895411e-71
"CD40LG",1.80235312220109e-75,1.56347776376172,0.267,0.054,3.12311749015004e-71
"CD3G",1.57735523101878e-74,1.33442397458104,0.327,0.08,2.73324114430935e-70
"SAMSN1",6.61535507988142e-73,1.36628444287291,0.438,0.147,1.14630872824185e-68
"HLA-B",2.31259968044279e-71,0.676064348486655,0.879,0.7,4.00727272627126e-67
"LCK",6.68857085372766e-71,1.36767079821201,0.276,0.061,1.15899555753393e-66
"IL7R",1.65264490552662e-70,1.3364160327676,0.408,0.129,2.86370309229652e-66
"MYL12A",3.04889048628883e-68,0.843133370675011,0.781,0.567,5.28311743464129e-64
