"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LAMC3",2.2085457919206e-85,2.46397017814376,0.331,0.033,3.82696814824001e-81
"DIO2",3.71834584716422e-62,2.19430819652168,0.315,0.041,6.44314968396617e-58
"IGFBP3",1.88236120986985e-58,2.64391342032295,0.359,0.061,3.26175550446248e-54
"COL1A2",5.30012602361273e-54,1.53709529980693,0.912,0.461,9.18405837371614e-50
"COL3A1",1.04482160128733e-46,1.53523089861483,0.851,0.428,1.81046687071069e-42
"SERPINE2",2.4805473218606e-45,2.2833195072532,0.387,0.087,4.29829239932005e-41
"COL1A1",7.29498517376582e-37,1.54836466197196,0.762,0.408,1.26407503091014e-32
"APCDD1",2.07766697679817e-36,2.3504223904362,0.326,0.075,3.60018133739586e-32
"COL6A2",4.79360309574014e-35,1.30664622609876,0.851,0.472,8.30635544429852e-31
"CDH11",1.18650911992858e-31,1.95359326022706,0.282,0.064,2.05598300301224e-27
"COL6A1",2.90345428926567e-30,1.3841497863325,0.779,0.435,5.03110559243955e-26
"DKK2",3.74228938699757e-29,1.83606396120478,0.254,0.056,6.48463904978939e-25
"COL6A3",2.25820214160226e-28,1.5374655730596,0.674,0.364,3.91301267096839e-24
"SOX4",2.62840886863605e-26,1.9191099529336,0.32,0.093,4.55450688757255e-22
"LUM",5.23349950874258e-24,1.29898127032646,0.602,0.324,9.06860794874914e-20
"SPARC",5.46450543294722e-23,1.6004590224001,0.564,0.295,9.46889501421094e-19
"BGN",8.55099438302062e-23,1.72371979781541,0.271,0.075,1.48171630668981e-18
"PRSS23",6.53145504582982e-18,1.46796493042948,0.271,0.09,1.13177053034139e-13
"VCAN",4.53559542411579e-16,1.31953267032014,0.536,0.316,7.85927975090784e-12
"TCF4",7.3948813609435e-16,1.61190360995222,0.381,0.175,1.28138504222429e-11
"CALD1",1.60073459240554e-15,0.99247494753037,0.635,0.414,2.77375290172032e-11
"CPE",4.11728727612097e-15,1.59165393072711,0.326,0.141,7.13443539206241e-11
"COL16A1",9.83849983835699e-15,1.66582907209721,0.298,0.119,1.7048152519905e-10
"SPARCL1",1.42900861518535e-14,1.51734025766187,0.265,0.097,2.47618612839317e-10
"MXRA5",7.91046122724961e-12,1.71782313654907,0.276,0.121,1.37072472145781e-07
"LAPTM4A",1.06926292105258e-10,0.875373253685241,0.602,0.47,1.85281878959991e-06
"ZBTB20",1.30060210276617e-10,1.32208997715937,0.376,0.21,2.25368332367323e-06
"TIMP2",2.51295942693977e-10,1.32412464312735,0.403,0.238,4.35445609500123e-06
"SPRY1",1.63992111448142e-08,1.00404336254385,0.37,0.22,0.000284165530717341
"MMP2",2.90993791257309e-08,1.06042625007093,0.42,0.273,0.000504234041490664
"ID3",6.07956770210029e-07,0.970556323327857,0.32,0.192,0.0105346749141994
"COL5A2",1.23015640449783e-06,1.35743473333778,0.304,0.187,0.0213161501771384
"WBP5",1.78845972834269e-06,0.922573203228215,0.365,0.24,0.0309904301727221
"MXRA8",3.36164764724707e-06,1.09176506152445,0.26,0.147,0.0582506304314973
"SPATS2L",4.90145768012401e-06,1.1422830722753,0.326,0.212,0.0849324586811889
"POSTN",5.58419452310115e-06,1.02982090201608,0.359,0.234,0.0967629226962968
"FN1",7.2629300316294e-06,1.02203961502929,0.348,0.234,0.125852051588074
"IFITM3",1.29449767983562e-05,0.524629938545943,0.619,0.505,0.224310557961916
"PRRX1",1.57569478510807e-05,0.875243074034517,0.337,0.223,0.273036392363526
"CXCL14",1.78049021191486e-05,0.499111479044056,0.558,0.424,0.308523343920607
"MEG3",3.21931076083704e-05,1.14176766397872,0.282,0.182,0.557842168637842
"HTRA1",3.38165580160078e-05,1.11601898840164,0.276,0.177,0.585973317301382
"TTC3",0.000192431867535381,1.04106228366123,0.343,0.258,1
"PDGFRB",0.000209907551239036,1.06264633757279,0.26,0.173,1
"FGFR1",0.000280708765499947,1.01692050281312,0.265,0.18,1
"DCN",0.000384037521389445,0.302200027721408,0.657,0.511,1
"PTRF",0.000536416273745243,0.880426177126479,0.354,0.267,1
"DDX17",0.000599161223866484,0.871986127588025,0.376,0.304,1
"PAM",0.000666041997139551,1.14296247977915,0.287,0.203,1
"TIMP3",0.000859547124332905,0.862727938208414,0.309,0.225,1
"SEPP1",0.00102403143497695,0.704085882486485,0.293,0.212,1
"AEBP1",0.00163210710256688,0.889060137012439,0.354,0.284,1
"DST",0.00165767671845369,0.920671874422068,0.271,0.195,1
"XIST",0.00187542106135796,0.877701985689581,0.343,0.277,1
"PCOLCE",0.00377483954624612,0.70757472556536,0.387,0.325,1
"LAMB2",0.00544061252940807,0.850901663382659,0.265,0.2,1
"NUPR1",0.00742337482782075,0.629137374964184,0.315,0.248,1
"ADIRF",0.010407833897335,0.553432637436483,0.42,0.377,1
"CNN3",0.0117814148626634,0.616716372277757,0.254,0.19,1
"MARCKS",0.0170379689258608,0.775924542688457,0.265,0.215,1
"NEAT1",0.0188524935325717,0.33361650102559,0.669,0.741,1
"IQGAP1",0.0203501455154956,0.29581034603791,0.16,0.257,1
"SERPING1",0.0237211792861526,0.401846772472135,0.425,0.369,1
"FBLN2",0.0460543917551013,0.600619392518462,0.331,0.288,1
"CD47",0.0473905885259639,0.350315858335335,0.215,0.313,1
"RRBP1",0.0479470252002765,0.514473209166528,0.442,0.422,1
"FGF7",0.0485552021270938,0.431671933928788,0.26,0.208,1
"CD81",0.0765227428635708,0.587477907308052,0.376,0.356,1
"PLAC9",0.0812525039356801,0.277870498657045,0.503,0.443,1
"MFAP5",0.084683800270097,0.315079226062811,0.293,0.249,1
"VAMP2",0.103876518216805,0.592850952003773,0.298,0.272,1
