"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CLEC3B",0,2.04485819438046,0.867,0.196,0
"FBN1",0,2.11740234099385,0.786,0.153,0
"MFAP5",0,2.34830093611741,0.862,0.132,0
"SLPI",0,2.54965324829158,0.46,0.024,0
"IGFBP6",6.43514735822311e-274,1.78823109485279,0.822,0.199,1.1150823342329e-269
"PI16",4.67767225893565e-272,2.16123196205135,0.512,0.056,8.1054704902837e-268
"PCOLCE2",9.41459260945813e-270,2.00757672502051,0.433,0.033,1.6313606073669e-265
"WISP2",5.79421955829753e-265,1.97196995428615,0.551,0.072,1.0040223650618e-260
"FSTL1",1.58886142435036e-261,1.77709884553679,0.775,0.191,2.75317907611431e-257
"SEMA3C",4.11828907523159e-260,2.08230375206362,0.458,0.045,7.1361713095613e-256
"IGFBP5",1.78732320599627e-255,1.78151187724874,0.752,0.172,3.09707365135033e-251
"C1QTNF3",4.2083741274384e-236,1.82161036264145,0.296,0.009,7.29227068802526e-232
"CD248",3.01550839247676e-233,1.75981058883115,0.641,0.125,5.22527294248374e-229
"POSTN",1.01469063685862e-232,1.90627773014267,0.678,0.153,1.75825593554861e-228
"ACKR3",7.88762804472675e-231,1.87896156633788,0.427,0.043,1.36676818759025e-226
"COL12A1",1.86689319825224e-228,1.8610782219672,0.529,0.081,3.23495253393149e-224
"COL1A1",2.28848301575095e-227,1.42124879159301,0.932,0.322,3.96548336969324e-223
"MATN4",5.05930643833972e-225,1.94817656682852,0.264,0.005,8.76676619635506e-221
"CTHRC1",1.43527305081749e-224,1.88079465247923,0.477,0.063,2.48704114245654e-220
"TNFAIP6",1.33961571302131e-221,2.00834713831298,0.461,0.061,2.32128610752333e-217
"FBLN1",1.87622663202381e-219,1.521149881267,0.841,0.258,3.25112550797087e-215
"SPARC",9.91487561290499e-210,1.54014905290154,0.76,0.216,1.71804964620418e-205
"FBLN2",1.0428639793676e-202,1.50018568656946,0.743,0.202,1.80707470344818e-198
"CD55",7.64188065305984e-201,1.74959514040633,0.578,0.124,1.32418507956221e-196
"COL1A2",1.15547259479281e-196,1.22596832637643,0.967,0.382,2.00220291225698e-192
"AEBP1",1.13030279472905e-191,1.47078423054967,0.726,0.202,1.95858868270651e-187
"ISLR",9.89908476927286e-190,1.59857714393301,0.568,0.119,1.7153134088196e-185
"DCN",1.52830128978756e-187,1.19864492092495,0.985,0.425,2.64824047494389e-183
"PLAC9",4.08705219838507e-185,1.2455998983783,0.925,0.353,7.08204404936165e-181
"LOX",1.18733222304646e-184,1.67499821477374,0.337,0.032,2.05740927609491e-180
"COL3A1",9.04981396291631e-184,1.2483166034017,0.929,0.35,1.56815176349414e-179
"SLIT3",1.94202456042233e-182,1.45049096193387,0.651,0.166,3.36514015829981e-178
"FN1",1.70174336120248e-181,1.57397020520653,0.635,0.161,2.94878089629165e-177
"ECM1",1.04610469057749e-177,1.54442749654031,0.528,0.108,1.81269020783268e-173
"PPIC",8.09009781336521e-177,1.59498877741225,0.547,0.122,1.40185214909992e-172
"ANGPTL5",1.78585193873471e-174,1.69351062943258,0.406,0.059,3.0945242394395e-170
"PTGIS",7.26640335227494e-174,1.69122412812089,0.369,0.047,1.2591223728822e-169
"CCDC80",1.36355289804332e-170,1.18214170089544,0.946,0.367,2.36276446172946e-166
"THBS2",2.02925301278883e-170,1.59457638328524,0.514,0.107,3.51628962056049e-166
"COL6A1",4.93211422606949e-168,1.13434857939319,0.926,0.354,8.54636753093322e-164
"C1R",5.19988625248898e-167,1.19570517537798,0.9,0.34,9.01036289831291e-163
"LRP1",1.98547431337931e-164,1.18374502654868,0.829,0.283,3.44042989022367e-160
"SCARA5",5.32031058086778e-163,1.66946749003395,0.376,0.053,9.21903417452768e-159
"MFAP4",1.52939692321188e-162,1.35299420606476,0.642,0.175,2.65013898854154e-158
"CPE",2.67981221837493e-160,1.42378899313192,0.464,0.087,4.64357861200008e-156
"MMP2",3.08249533568974e-160,1.39332913424896,0.679,0.201,5.34134791768319e-156
"COL6A2",1.66125496716556e-158,1.0707392134994,0.962,0.393,2.87862260710449e-154
"AQP1",2.66875577778167e-158,1.56027651277075,0.433,0.077,4.62442001174007e-154
"CFD",7.68279345250959e-153,1.10107064499397,0.968,0.422,1.33127444945086e-148
"MRC2",5.22574162172058e-148,1.47426233318799,0.481,0.105,9.05516508211742e-144
"TPPP3",6.27316874907592e-148,1.46692506870189,0.561,0.147,1.08701468083988e-143
"TIMP2",4.74708738209937e-141,1.36889437964757,0.597,0.176,8.22575301570179e-137
"TPM1",7.70860441465965e-140,1.29101030843108,0.641,0.21,1.33574697297222e-135
"NNMT",1.69884823786117e-138,1.176898749288,0.743,0.251,2.94376422656584e-134
"CILP",2.31939351439536e-136,1.58871776167162,0.271,0.029,4.01904508174428e-132
"HTRA3",3.5560109935623e-136,1.48781918808231,0.371,0.065,6.16185584964476e-132
"DBN1",1.17205147836647e-134,1.44840450720284,0.304,0.04,2.03093080171342e-130
"CD81",2.16648044058475e-134,1.17833510745366,0.739,0.282,3.75407730744525e-130
"CRABP2",2.33411409224231e-133,1.41920153681827,0.465,0.108,4.04455289903747e-129
"SFRP2",1.44816301914116e-132,1.44734817857869,0.54,0.148,2.50937687956781e-128
"COX7A1",1.79376582592128e-130,1.28653920670095,0.585,0.176,3.10823742315639e-126
"GPNMB",2.0396994582889e-130,1.33698205548159,0.549,0.155,3.534391221323e-126
"SVEP1",9.57876481060368e-128,1.44507020982421,0.364,0.066,1.65980836638141e-123
"AKR1C3",2.42027979111678e-127,1.39082863228453,0.437,0.101,4.19386082204716e-123
"PAM",9.6139585757909e-127,1.30021598150494,0.524,0.144,1.66590674201305e-122
"COL5A1",3.82050518797e-126,1.38603975918814,0.385,0.076,6.62017138971442e-122
"SERPINH1",1.4650898215746e-125,1.27735232977819,0.494,0.131,2.53870764282446e-121
"VCAN",2.92768147289254e-125,1.08516513804836,0.7,0.251,5.07308645622819e-121
