"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCL22",0,3.96385985730735,0.765,0.013,0
"LAMP3",0,3.21287323524333,0.679,0.006,0
"CCR7",3.46150461564719e-285,3.14098094137794,0.63,0.014,5.99809519799345e-281
"LAD1",1.01837006001666e-274,2.58113537234615,0.457,0.006,1.76463163999687e-270
"WFDC21P",1.25067895266188e-198,3.65170995128455,0.963,0.069,2.16717648917251e-194
"NRP2",4.96780454826606e-172,2.75375378432049,0.568,0.023,8.60821172123543e-168
"CCL17",6.46330029983872e-165,3.53628680299317,0.691,0.039,1.11996067595605e-160
"ANXA3",2.5379108125566e-162,1.70937134102234,0.284,0.004,4.39769185599807e-158
"CERS6",1.45586497712364e-147,2.39829061971079,0.457,0.017,2.52272283235985e-143
"CD83",1.4220528070293e-145,3.06435304982101,0.852,0.075,2.46413310402037e-141
"DAPP1",7.44758713752838e-140,2.92843447707239,0.765,0.06,1.29051789919092e-135
"TBC1D4",5.1417478843698e-131,2.57688172159459,0.642,0.042,8.90962073403598e-127
"MARCKSL1",2.43381381871193e-125,2.98732768827659,0.728,0.062,4.21731258506404e-121
"TYROBP",9.67101126070793e-124,2.95039703983426,0.901,0.101,1.67579283125547e-119
"PLEK",2.27981968171746e-120,2.88158584845126,0.741,0.066,3.95047154448002e-116
"IRF4",3.9651764458556e-120,2.48605607811274,0.58,0.038,6.87085774537859e-116
"BCL2A1",3.21886514096472e-115,2.08759903042827,0.321,0.01,5.57764951626366e-111
"RAMP1",2.29328247739066e-110,2.7129137628952,0.519,0.033,3.97379987682254e-106
"IL4I1",5.18463390731593e-110,2.69756637533961,0.679,0.059,8.98393363459705e-106
"RASSF4",1.25262321142756e-103,2.44789732538592,0.531,0.038,2.17054550076168e-99
"CD1B",1.89323675486532e-102,2.88145330988532,0.605,0.05,3.28060064883063e-98
"FSCN1",4.60294075812932e-99,2.79159258974395,0.765,0.09,7.97597574568648e-95
"ARAP2",2.75613185555868e-96,2.23310049040071,0.531,0.038,4.77582527931209e-92
"LY75",3.93473033203801e-93,1.58784502579758,0.309,0.012,6.81810071935547e-89
"HLA-DQA1",2.14323838642457e-92,2.70764696976788,0.79,0.098,3.71380347599649e-88
"CD274",7.00965775080912e-92,1.9914349665668,0.37,0.019,1.2146334950602e-87
"IFI30",1.33899454241518e-91,2.71417740011698,0.815,0.111,2.32020974309703e-87
"HLA-DRA",1.42091717670257e-90,2.753651374061,1,0.183,2.46216528379021e-86
"CD1E",8.44362068887716e-89,2.69285106676911,0.63,0.064,1.46311059296863e-84
"LIMCH1",6.76683861326183e-87,2.36266143427405,0.605,0.059,1.17255779490601e-82
"CSF2RB",5.58428138954946e-86,2.35600760710536,0.506,0.041,9.67644279181131e-82
"CD86",9.56818360673194e-86,2.24053330822227,0.469,0.035,1.65797485537451e-81
"NET1",1.31519817423453e-84,2.33088922800287,0.519,0.044,2.2789753963136e-80
"HLA-DPA1",2.33182964313667e-82,2.61555810169941,0.926,0.164,4.04059440562723e-78
"ETV3",2.38026200717018e-80,2.18243701916504,0.407,0.028,4.12451800602448e-76
"NUB1",2.27118406874331e-79,2.4557200847564,0.741,0.102,3.9355077543184e-75
"MCOLN2",6.00371131788373e-79,2.17728244822576,0.469,0.038,1.04032309716289e-74
"C15orf48",8.12237819302157e-77,2.93906290176054,0.568,0.06,1.40744569328678e-72
"HLA-DQB2",3.6553896266648e-76,2.28013956715502,0.358,0.022,6.33405914508476e-72
"HLA-DPB1",2.17576090191175e-74,2.46951197887489,0.926,0.181,3.77015849083268e-70
"KYNU",1.16402688177957e-70,1.93213000375767,0.358,0.024,2.01702578074764e-66
"HLA-DQA2",9.11687504058593e-70,2.51683509059414,0.679,0.096,1.57977210703273e-65
"RGS1",9.86081967776221e-69,2.3020729967619,0.84,0.145,1.70868283376264e-64
"ALCAM",3.18003752764775e-67,2.32160030384449,0.506,0.053,5.51036902790802e-63
"CD74",2.99885983449899e-66,2.34237916581055,1,0.282,5.19642432121984e-62
"POGLUT1",1.10485576627309e-64,2.04332475359606,0.494,0.051,1.91449407179801e-60
"FAM60A",2.7454127630819e-63,1.88802187191012,0.432,0.04,4.75725123586831e-59
"HLA-DQB1",3.696435921244e-62,2.31245400966279,0.815,0.15,6.40518416433161e-58
"NFKB1",2.11261711064583e-61,2.16300909146997,0.691,0.112,3.6607429293271e-57
"REL",5.31765863757915e-61,2.26096228434644,0.765,0.135,9.21443888719715e-57
"N4BP2L1",8.89878178947734e-61,1.6994426067128,0.37,0.03,1.54198090848063e-56
"TIFAB",3.63999768735095e-60,1.81955808960807,0.333,0.025,6.30738799264173e-56
"NR4A3",3.21148613215532e-59,2.36892042827504,0.531,0.065,5.56486316979873e-55
"ARRB2",5.73908163624386e-59,1.88479724578527,0.543,0.067,9.94468065928335e-55
"CXCL16",1.78171589754661e-58,2.18071972472018,0.481,0.056,3.08735730726877e-54
"MARCKS",2.58161919429633e-58,2.194938439351,0.877,0.206,4.47342973987668e-54
"RHOF",5.88363347043476e-58,2.03036294616464,0.506,0.06,1.01951600775694e-53
"CLIC2",1.73823376929054e-57,2.10399254207063,0.556,0.076,3.01201147542665e-53
"LYZ",6.25696816139406e-56,2.62459667142551,0.63,0.099,1.08420744300636e-51
"CSTA",1.01213216960609e-55,1.779390994669,0.272,0.017,1.75382262349343e-51
"LYN",1.33772131926329e-55,1.82010287741202,0.37,0.034,2.31800350201942e-51
"PPP1R14A",4.31527192534743e-55,1.92443115559284,0.358,0.032,7.47750319224203e-51
"SYNGR2",1.39713463737329e-53,2.06051396031369,0.63,0.102,2.42095489964044e-49
"MREG",7.4610091346586e-53,1.95909115887936,0.333,0.028,1.29284366285364e-48
"KDM2B",1.9302065213162e-52,1.57953910956972,0.321,0.026,3.34466186013672e-48
"GPR137B",2.32216184908248e-51,2.19161183055871,0.444,0.053,4.02384205209013e-47
"ADRBK2",5.04632818673314e-51,1.59608091517301,0.296,0.023,8.74427748197119e-47
"SOCS2",1.10632011186211e-50,1.50177766707685,0.259,0.017,1.91703148983466e-46
"PLA2G16",1.37158665782053e-50,2.23071099539063,0.494,0.068,2.37668536067142e-46
"GADD45A",5.19946387943689e-50,2.12124412297271,0.543,0.081,9.00963101028825e-46
"SPI1",1.01140108506625e-49,2.05687983449661,0.556,0.083,1.7525558002028e-45
"FAM49A",1.17412282257249e-49,1.6841665892735,0.284,0.022,2.0345200269536e-45
"GGTA1P",7.9699956682602e-49,1.97634739265449,0.457,0.059,1.38104084939613e-44
"MAP3K13",1.35228248519969e-48,2.04261224124777,0.654,0.124,2.34323509035402e-44
"TRAF1",1.61442773715997e-48,1.91362789884726,0.432,0.051,2.7974803829508e-44
"KIF2A",2.57780173582493e-48,1.86490924553457,0.457,0.058,4.46681484783744e-44
"ATF5",1.32523087541457e-47,1.91345092527392,0.407,0.047,2.29636006091837e-43
"PELI1",1.32582508940549e-47,1.63632917874925,0.309,0.026,2.29738971492184e-43
"HLA-DRB1",4.1286025723704e-46,2.12159375698775,0.716,0.144,7.15404253740343e-42
"MMD",1.13140045750238e-45,1.6251696351548,0.309,0.028,1.96049071276013e-41
"MGLL",3.6034719556635e-45,1.69907953423466,0.42,0.052,6.24409620477371e-41
"CST7",3.75446852790586e-45,2.1719661097722,0.654,0.131,6.50574306515527e-41
"TXN",3.20535916957029e-44,1.77322887432885,0.988,0.573,5.5542463690314e-40
"SPINT2",1.30246105714469e-43,1.89487053305163,0.506,0.08,2.25690451982031e-39
"RASSF2",2.31613038041251e-42,1.56316963993775,0.42,0.055,4.0133907231788e-38
"CMTM6",3.41343083410819e-42,1.95522850532156,0.765,0.193,5.91479294934268e-38
"BIRC3",9.28460743094752e-42,1.83141759868482,0.864,0.249,1.60883677563459e-37
"REPIN1",1.23235372998027e-41,1.69075958509564,0.309,0.031,2.13542254330981e-37
"CDKN1A",2.06885023730032e-41,1.8561753156956,0.58,0.111,3.584903691194e-37
"HLA-DRB6",1.23740336296926e-40,2.00846923292725,0.568,0.102,2.14417254735313e-36
"PTGIR",5.64487294245143e-40,1.34242225973003,0.272,0.025,9.78143583467984e-36
"ARHGAP10",8.48282168460815e-40,1.83618467213456,0.506,0.088,1.4699033415089e-35
"CD40",1.02269628618704e-39,2.02303540520545,0.494,0.083,1.77212812470491e-35
"LCP1",1.16753979063445e-39,1.76846983914132,0.877,0.245,2.02311294921137e-35
"BID",2.09065824830347e-39,1.99789617075907,0.494,0.084,3.62269261266025e-35
"BASP1",5.55808385894519e-39,1.84883497989199,0.691,0.174,9.63104771078022e-35
"MYO1G",9.5568375146831e-39,1.6876404244797,0.469,0.073,1.65600880454429e-34
"LSP1",1.89566999229701e-38,1.71088191465859,0.877,0.299,3.28481696265226e-34
"RAB9A",6.34294776781998e-38,1.52513785854234,0.37,0.048,1.09910598920785e-33
"ALDH2",1.20392516259066e-37,1.86901747595445,0.457,0.075,2.08616152173709e-33
