"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APCDD1",0,2.48870856226801,0.581,0.031,0
"COL6A5",0,2.77025131039395,0.709,0.039,0
"TNC",0,2.73409558322592,0.63,0.033,0
"COL18A1",1.12826999895666e-254,1.99939726614707,0.576,0.061,1.95506625419211e-250
"CCL19",7.29572820031724e-224,2.65344858053068,0.386,0.025,1.26420378255097e-219
"VCAM1",7.12585049195677e-223,2.00719204903469,0.434,0.036,1.23476737324627e-218
"UBD",6.44347250276799e-222,1.92353822542031,0.262,0.005,1.11652491527964e-217
"COMP",5.49965347622015e-198,2.09185412626182,0.333,0.019,9.52979954359427e-194
"F13A1",4.52428184737261e-165,1.97121738035002,0.393,0.045,7.83967558512725e-161
"COL6A3",1.63667303626342e-154,1.34825422223538,0.913,0.317,2.83602703723726e-150
"COL6A6",2.02891578837735e-149,1.6600353576806,0.525,0.094,3.51570527810027e-145
"CCL2",1.65262657603235e-127,1.86361564396795,0.424,0.074,2.86367133094886e-123
"POSTN",5.77346216432857e-127,1.36341990474315,0.709,0.188,1.00042552383486e-122
"TWIST2",2.9155086444879e-124,1.51967141827301,0.607,0.162,5.05199337916863e-120
"COL15A1",1.37393167130394e-123,1.34142471203485,0.469,0.087,2.38074880003547e-119
"COL6A1",2.78424198643332e-123,1.08854922608799,0.967,0.392,4.82453451409165e-119
"SFRP2",2.54284929250979e-118,1.42412301035555,0.622,0.167,4.40624925406096e-114
"COL3A1",7.20819254225347e-118,1.07325099639861,0.965,0.388,1.24903560372168e-113
"PLEKHH2",2.90678798844243e-116,1.44143867074529,0.415,0.074,5.03688222637305e-112
"SERPINE2",2.30907612304419e-115,1.50020021926901,0.393,0.067,4.00116710601097e-111
"SELM",3.03060933540475e-112,1.20078930041063,0.839,0.334,5.25143985638935e-108
"CTSK",1.73631304930871e-109,1.34490832856711,0.647,0.195,3.00868325184214e-105
"ADIRF",1.42960512088311e-107,1.11678401179252,0.862,0.327,2.47721975346625e-103
"HAS2",1.62911143405827e-107,1.44013735078774,0.397,0.074,2.82292429293617e-103
"COL6A2",2.22736754405965e-102,0.96049823422915,0.988,0.432,3.85958248034655e-98
"CAV1",4.38942451063521e-100,1.23618875111552,0.64,0.195,7.60599479202869e-96
"C1S",1.45743378843861e-96,0.983455208973252,0.876,0.345,2.52544126860642e-92
"FRMD6",2.8903339610452e-94,1.42198953225297,0.289,0.044,5.00837068769912e-90
"TCF4",2.74015440640985e-92,1.20877969937508,0.525,0.146,4.74813955542698e-88
"MXRA5",9.53561774848789e-89,1.2067817904371,0.417,0.096,1.65233184345798e-84
"MMP2",3.29915263474947e-88,1.09270283775396,0.682,0.235,5.71677168549389e-84
"PTGDS",1.34445208401833e-84,1.41778891782839,0.264,0.039,2.32966657118697e-80
"COL1A1",4.8018695102292e-84,0.867487013953125,0.886,0.371,8.32067948732515e-80
"FN1",7.59030804096576e-84,1.05437226801478,0.618,0.197,1.31524857733855e-79
"IFI27",6.57019537573317e-83,1.35859017525737,0.448,0.118,1.13848345470704e-78
"SPARC",9.65828037627316e-83,0.992054640412185,0.713,0.261,1.67358682360061e-78
"EMILIN1",3.48788560347818e-81,1.38194136290447,0.345,0.073,6.04380817370699e-77
"DPT",3.6538865156848e-81,1.14191695973116,0.581,0.188,6.33145455437862e-77
"COL1A2",1.21114933579642e-80,0.820410835584198,0.961,0.425,2.09867956906803e-76
"ENPP2",1.22938587027323e-79,1.17953430272115,0.368,0.082,2.13027983600945e-75
"IGFBP4",1.04507140152978e-78,1.03190852735856,0.636,0.225,1.81089972457081e-74
"RAB13",1.90305950969842e-78,1.37969939246782,0.421,0.115,3.29762151840543e-74
"C1R",1.11490429573408e-77,0.837933606424952,0.903,0.38,1.93190616364802e-73
"S100A13",1.17832147977042e-75,0.952338216114535,0.754,0.303,2.04179546014619e-71
"COL5A2",3.09793227819959e-75,1.0586234849275,0.512,0.156,5.36809705166424e-71
"CALD1",6.4210144642838e-75,0.821519139312216,0.872,0.374,1.1126333863711e-70
"CD9",2.33848010577353e-74,0.871053575143123,0.87,0.459,4.05211832728437e-70
"SPATS2L",3.86119600759656e-73,1.15936229603269,0.529,0.182,6.69068044196333e-69
"IFITM3",1.03079281658682e-72,0.792016474919918,0.942,0.463,1.78615779258164e-68
"SOD2",6.66981718467001e-71,1.30695429704415,0.415,0.119,1.15574592175962e-66
"TGFBI",1.84376248877185e-69,1.18127973112185,0.438,0.133,3.19487164054387e-65
"ARRDC3",6.0510824422283e-69,1.10276115252845,0.335,0.077,1.04853156558932e-64
"PTRF",2.10533744484703e-66,0.963692874915174,0.622,0.232,3.64812872443093e-62
"CLEC11A",1.23592966894093e-65,1.13820852749033,0.314,0.073,2.14161893034084e-61
"AEBP1",1.53564903309674e-65,0.844848186956336,0.655,0.247,2.66097264455003e-61
"GNG11",5.55527033849825e-65,1.03328824412344,0.44,0.135,9.62617244254977e-61
"PMP22",3.30031304514961e-64,0.986026527269824,0.572,0.213,5.71878244463525e-60
"LY6E",3.38141914418299e-63,0.962359984762291,0.659,0.286,5.85932309304029e-59
"RCN1",4.06017241595437e-63,1.15752116465253,0.417,0.13,7.03546676236574e-59
"FMOD",9.76706606484376e-63,1.13057421667071,0.26,0.052,1.69243720771613e-58
"NNMT",1.12213424070424e-62,0.882125726180694,0.709,0.29,1.9444342122923e-58
"VCAN",8.67647909043392e-62,0.83420755781506,0.692,0.285,1.50346029679039e-57
"MARCKS",3.84168630866951e-61,1.0042798175038,0.514,0.185,6.65687403566253e-57
"RND3",3.34092396796178e-60,1.03531722560596,0.32,0.079,5.78915305168417e-56
"AQP1",9.51269550359036e-60,1.09698484004612,0.378,0.109,1.64835987686214e-55
"CNN3",1.64591427339704e-59,0.993904178391324,0.475,0.162,2.85204025294239e-55
"STEAP2",1.66105344529337e-59,1.00601312813786,0.36,0.099,2.87827341000435e-55
"COL4A1",6.57273697092285e-59,1.10238730647262,0.289,0.067,1.13892386232151e-54
"IGFBP7",3.84252198721812e-58,0.7558751321341,0.729,0.313,6.65832209945156e-54
"SERPING1",1.77027810304718e-57,0.775544079397235,0.767,0.328,3.06753789696015e-53
"PAM",2.4744520968256e-57,0.965411286233309,0.49,0.176,4.2877305933794e-53
"COL4A2",6.43469464691406e-55,1.01331627230329,0.279,0.066,1.11500388841727e-50
"SERPINH1",7.84906891183249e-54,0.933004907021924,0.457,0.162,1.36008666104233e-49
"SOD3",1.79546164002174e-53,0.793814694793598,0.628,0.258,3.11117592982967e-49
"FHL1",5.14890586717755e-53,0.974036358988869,0.432,0.148,8.92202408664525e-49
"BGN",1.20967350774513e-51,1.04112346369029,0.262,0.062,2.09612225422076e-47
"SPTBN1",7.47467770874525e-51,0.827876748756936,0.483,0.179,1.29521215337138e-46
"MEG3",3.20392014731933e-50,0.744929826302839,0.448,0.157,5.55175283127493e-46
"COL14A1",3.2274943246834e-50,1.00234050468432,0.38,0.125,5.5926021658114e-46
"TPM2",5.80870803463993e-50,0.949624613349228,0.264,0.065,1.00653292824241e-45
"LAMB2",1.00082250042328e-48,0.764269239011832,0.471,0.174,1.73422522873347e-44
"TWIST1",3.86061157105982e-48,1.00455887532663,0.341,0.105,6.68966773033246e-44
"CFH",1.13365942634621e-47,0.614498779190306,0.82,0.369,1.96440505397271e-43
"C12orf75",3.64499996472011e-47,0.923552341980995,0.312,0.093,6.316055938867e-43
"LAMA4",4.86453583856183e-47,0.838744711450583,0.417,0.148,8.42926770105995e-43
"FBLN2",1.63788951223134e-46,0.685641864536329,0.61,0.256,2.83813494679447e-42
"ZBTB20",1.77626398563567e-46,0.739753273506663,0.483,0.187,3.07791023430948e-42
"ARHGAP29",3.70395436606248e-46,0.898012859491221,0.26,0.067,6.41821212551307e-42
"STEAP1",7.75499212773732e-46,0.9714216035485,0.329,0.102,1.34378503589432e-41
"COX7A1",9.49560250685271e-46,0.762969903981747,0.525,0.212,1.64539800238744e-41
"FILIP1L",2.24253702786119e-45,0.937929229125557,0.463,0.189,3.88586816187787e-41
"LUM",5.89728377409578e-43,0.696670127493134,0.655,0.3,1.02188133237532e-38
"CP",8.58314366922075e-43,0.972429448660348,0.355,0.123,1.48728713500257e-38
"RCN3",1.10802799711746e-42,0.828159707960806,0.333,0.108,1.91999091340514e-38
"F10",2.11205331424055e-42,0.812638194588499,0.399,0.144,3.65976598291603e-38
"PPAP2B",2.58184533876243e-42,0.810204608335593,0.457,0.177,4.47382160300754e-38
"C3",2.77919687936099e-42,0.796776536566733,0.556,0.251,4.81579235255673e-38
"GPNMB",3.20265495619055e-42,0.833453339095866,0.471,0.192,5.54956050808699e-38
"ITIH5",3.33344021381121e-42,0.839777843103535,0.37,0.129,5.77618520249206e-38
"ANK2",4.79666420316136e-42,0.849064995433347,0.368,0.129,8.31165973123801e-38
