"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TNFRSF18",1.37107771381705e-237,2.74530007252527,0.808,0.104,2.37580346250218e-233
"TNFRSF4",1.10725992373126e-216,2.64920317942337,0.643,0.066,1.91865999584153e-212
"CCL1",9.35114255523778e-151,2.93956224961444,0.308,0.017,1.6203659819716e-146
"GNLY",5.97757414263613e-129,2.77064396653185,0.316,0.023,1.03579404743599e-124
"LAIR2",3.00414125631076e-118,2.03652623071007,0.406,0.046,5.20557596893529e-114
"IL2RA",1.39611974062549e-114,2.09299888723683,0.477,0.068,2.41919628655586e-110
"BATF",9.82530833558826e-100,1.8656579094767,0.609,0.126,1.70252942839073e-95
"IL13",2.7769423535538e-88,2.05594477995496,0.35,0.047,4.81188571023803e-84
"IL2RG",9.68955417173341e-77,1.61238110682031,0.658,0.187,1.67900594687797e-72
"CSF2",1.46495942723218e-76,1.98155244375998,0.327,0.047,2.53848169550792e-72
"CD2",3.0050093220157e-72,1.47502413867842,0.635,0.17,5.20708015318881e-68
"CD3D",5.31044970206561e-70,1.39432134842557,0.759,0.234,9.20194724373928e-66
"BIRC3",6.39173682207342e-69,1.49594997661022,0.707,0.234,1.10756015652888e-64
"GZMB",5.24927138322646e-66,2.11152496437136,0.305,0.047,9.09593745285481e-62
"IL32",8.99690271613817e-65,1.21897076283344,0.929,0.424,1.55898330265242e-60
"SAMSN1",3.64542832708337e-55,1.4357003644445,0.545,0.163,6.31679820517006e-51
"TNFRSF25",1.6944355192825e-54,1.44518679081683,0.301,0.054,2.93611786781272e-50
"CLEC2D",1.13174012616282e-51,1.33098900378636,0.417,0.102,1.96107929061494e-47
"KRT7",2.45326962618177e-49,1.44119366249624,0.278,0.051,4.25102560824777e-45
"DUSP4",4.3768106262631e-49,1.43160391995187,0.395,0.1,7.5841374531887e-45
"IL26",6.77685187955973e-48,1.50499939036581,0.278,0.052,1.17429289369011e-43
"PTPRCAP",1.75771347562716e-47,1.20340317914708,0.632,0.214,3.04576591056674e-43
"CTSW",7.56526517194486e-45,1.53661008063516,0.391,0.102,1.3109091489946e-40
"CD96",2.05675315469898e-44,1.34633069612335,0.342,0.079,3.56394186646239e-40
"RGS16",5.40293632985092e-44,1.51372669251797,0.297,0.065,9.36220807236567e-40
"LAT",2.78612493547824e-43,1.27184394447473,0.331,0.077,4.8277972881967e-39
"CORO1A",6.0814354014609e-42,1.10651020825122,0.632,0.244,1.05379112636515e-37
"SH2D1A",8.91967937574364e-42,1.12701918501585,0.282,0.058,1.54560204222886e-37
"CD3E",9.30255557429677e-41,1.21252363549797,0.402,0.111,1.61194682991414e-36
"SRGN",9.63168451143325e-40,1.15279756203215,0.647,0.269,1.66897829214115e-35
"IL22",1.25366182139793e-38,1.67170849661295,0.252,0.053,2.17234520411834e-34
"HOPX",1.58596049503788e-38,1.2609626556866,0.278,0.062,2.74815234580164e-34
"GATA3",1.7666345438042e-36,1.35804160934069,0.308,0.078,3.06122433750392e-32
"CD52",4.84951616314002e-36,0.954533131574625,0.782,0.355,8.40324160748903e-32
"HLA-A",6.47161270959539e-36,0.698647408902141,0.917,0.689,1.12140105031869e-31
"SPOCK2",6.81119761085229e-33,1.09781554420478,0.282,0.07,1.18024432200848e-28
"RAC2",9.83703762409719e-33,1.05035630064809,0.444,0.153,1.70456187950356e-28
"GAPDH",1.20747338701551e-32,0.647346850948979,0.898,0.735,2.09230988502047e-28
"SMS",1.52674246908936e-31,1.23753174445072,0.395,0.143,2.64553935043804e-27
"PTPRC",4.42598627496323e-31,0.893615743411904,0.665,0.306,7.66934901725629e-27
"MFSD10",1.77175372003904e-30,1.34091930238709,0.376,0.133,3.07009484608365e-26
"PRDX1",4.32080793429831e-30,0.878327147035235,0.729,0.491,7.48709598855212e-26
"DUSP2",2.52201815119433e-29,1.20155221254935,0.342,0.11,4.37015305238954e-25
"CARD16",3.69309063178251e-29,1.49846246389358,0.297,0.089,6.39938744675273e-25
"AMICA1",4.14061619450326e-28,1.15160911561156,0.414,0.156,7.17485974183525e-24
"HLA-B",6.13960655916508e-28,0.597442428395429,0.932,0.71,1.06387102457212e-23
"TNFSF14",9.79493258637872e-28,1.2288531889905,0.282,0.082,1.6972659185677e-23
"HCST",1.00492499371438e-27,0.923195002487347,0.605,0.278,1.74133402910828e-23
"STK17B",1.04045024418551e-27,1.01366188617136,0.523,0.228,1.80289218312466e-23
"SEC11C",5.43427218572105e-27,1.18576975638859,0.312,0.101,9.41650684341743e-23
"DNPH1",1.15482987990945e-26,1.27004157301999,0.308,0.102,2.00108921590709e-22
"TNFSF10",2.76029849379806e-26,1.03649930652644,0.459,0.191,4.78304523005328e-22
"SYTL3",9.56487252558853e-26,1.04249447163895,0.278,0.083,1.65740111123398e-21
"IL27RA",1.00363679047307e-25,1.28599946451151,0.271,0.083,1.73910183053173e-21
"IGFLR1",3.75139204411446e-25,1.3542193938271,0.293,0.099,6.50041213404154e-21
"FXYD5",7.63600533102196e-24,0.956082738174739,0.624,0.353,1.32316700375948e-19
"LTB",1.12972771426605e-23,1.02830924990523,0.474,0.209,1.95759218328022e-19
"CCND2",2.2552659870621e-23,1.0243599668462,0.32,0.114,3.9079249023812e-19
"BST2",3.76999070838109e-23,1.25435567158661,0.312,0.114,6.53263989948275e-19
"TNFAIP8",4.44670297121666e-23,1.09281847662712,0.357,0.14,7.70524690852424e-19
"CD3G",2.67748666687056e-22,0.918026024413928,0.301,0.1,4.63954889635331e-18
"ETS1",4.50124852438359e-22,0.910102232320384,0.436,0.187,7.79976344305188e-18
"PKM",2.9646505550751e-21,0.809799819898198,0.628,0.404,5.13714648183413e-17
"ARHGDIB",3.13367960308584e-21,0.824353286907939,0.545,0.268,5.43004001622715e-17
"ID2",1.09114625273665e-20,0.798589839605478,0.662,0.395,1.89073822674206e-16
"ALOX5AP",3.66891628898733e-20,0.736496106508388,0.545,0.257,6.35749814555725e-16
"HCLS1",1.20518374844794e-19,0.90398431815405,0.289,0.106,2.08834239931058e-15
"CREM",1.44728493756441e-19,1.10112252303523,0.35,0.15,2.50785533981162e-15
"ANP32E",1.62001103672244e-19,1.00200996852389,0.335,0.138,2.80715512443264e-15
"B2M",2.57752880623549e-19,0.327521503899845,1,0.938,4.46634191544485e-15
"REL",2.91328478084103e-19,1.14604184103124,0.327,0.136,5.04813986824133e-15
"C9orf16",1.28780094280721e-18,0.907366780274583,0.436,0.219,2.23150147369633e-14
"GMFG",1.30283225801024e-18,0.843904007956203,0.47,0.226,2.25754773668014e-14
"TSHZ2",1.44618014809316e-18,0.862066863422541,0.406,0.189,2.50594096061583e-14
"CD53",1.5224513593341e-18,0.863273968550448,0.402,0.181,2.63810371545413e-14
"CD69",8.56092311174753e-18,0.710145709121589,0.429,0.191,1.48343675680361e-13
"LAPTM5",1.59242996037064e-17,0.794422571321304,0.425,0.2,2.75936263533025e-13
"NBAS",6.98158258478638e-17,0.857387276094589,0.32,0.131,1.20976863029178e-12
"PIM3",8.0623316214978e-17,1.29535488579358,0.263,0.104,1.39704082337314e-12
"ITM2C",2.55085181521851e-16,0.957309099230481,0.271,0.108,4.42011602541064e-12
"HLA-C",2.87201521059474e-16,0.501464764729513,0.827,0.66,4.97662795691856e-12
