"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CXCL8",1.21428066821714e-255,3.18637821068629,0.866,0.03,2.10410554188666e-251
"IL1RN",2.64953348427599e-214,2.58260251235061,0.701,0.023,4.59111162155344e-210
"CD1B",1.07942805393222e-194,2.84201536050396,0.91,0.048,1.87043293185375e-190
"MFSD12",2.27321256393021e-194,2.28052357727303,0.701,0.026,3.93902273077827e-190
"C15orf48",5.27688256101662e-183,3.07789281207715,0.94,0.056,9.1437821017296e-179
"PKIB",1.41528294706874e-180,2.76423350716729,0.896,0.052,2.45240229068072e-176
"CXCL16",2.84463641998135e-179,2.53568873179387,0.896,0.051,4.92918598854368e-175
"MMP12",4.0081658063507e-178,3.25462831826493,0.925,0.056,6.94534970924449e-174
"CLDN1",7.48454157363517e-175,2.49302725438744,0.851,0.046,1.2969213638795e-170
"TACSTD2",1.85052272719608e-172,2.88955476396954,0.925,0.057,3.20658578168537e-168
"FLT1",4.04210062477901e-171,1.55849224611907,0.418,0.009,7.00415196261708e-167
"CD1A",6.86058986644498e-165,2.71363811404161,0.925,0.06,1.18880301205759e-160
"CD1E",9.00429958184751e-162,2.57937797598462,0.94,0.061,1.56026503154254e-157
"GPAT3",5.856648120119e-159,2.3648842171085,0.716,0.035,1.01483998625422e-154
"NR4A3",1.20326783792504e-157,2.40654624634455,0.925,0.061,2.08502250955652e-153
"DNASE1L3",4.92159987899851e-155,2.6307074577278,0.746,0.04,8.52814827032861e-151
"CD83",6.13828104257604e-151,2.57625331403487,0.985,0.075,1.06364133905758e-146
"ATP1B1",4.50040907302434e-149,2.37606304671532,0.791,0.047,7.79830884173658e-145
"PLEK",4.91994926391336e-149,2.6079854923825,0.91,0.066,8.52528808450907e-145
"RASGEF1B",2.18889693520128e-146,2.00321052826555,0.657,0.032,3.79292060931678e-142
"B3GNT5",9.44902959977183e-146,2.0506854891334,0.582,0.025,1.63732784904846e-141
"MMP9",1.52923595287041e-143,2.02668340198629,0.478,0.016,2.64986005913385e-139
"IL1RAP",2.87941469590166e-142,2.05476470626251,0.642,0.031,4.98944978505839e-138
"CD36",1.33142594074514e-141,2.3052321438509,0.776,0.048,2.30709487012318e-137
"CD80",2.5635730686475e-140,1.58213980056608,0.403,0.011,4.44215941335239e-136
"CCL17",5.16220893967708e-140,2.71959643801705,0.716,0.04,8.94507565067245e-136
"RNASE6",5.60609876336026e-140,2.29456858355579,0.866,0.06,9.71424793715066e-136
"ARID3A",2.67498179111783e-138,1.59114690058526,0.463,0.015,4.63520844764898e-134
"RAB7B",3.52274755022027e-138,2.30753895338233,0.776,0.05,6.10421695502168e-134
"INHBA",1.80385435928562e-136,2.31484478736701,0.537,0.022,3.12571883377012e-132
"SEMA7A",8.96496126932465e-136,1.44336813944774,0.373,0.01,1.55344848874857e-131
"IL1R2",8.11826317631374e-134,2.3135524204828,0.806,0.055,1.40673264319164e-129
