"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GZMK",5.16519924392884e-235,2.94477806889853,0.259,0.001,8.95025724987989e-231
"CCL5",7.40492372131555e-201,3.72063721165908,0.531,0.016,1.28312518242956e-196
"GZMA",3.52511931313857e-138,3.35662654173009,0.58,0.032,6.10832674580651e-134
"NKG7",1.72813027663127e-93,2.98089779582141,0.593,0.053,2.99450414334666e-89
"CCL4",6.22567569543609e-64,2.85981963998357,0.321,0.022,1.07878508450517e-59
"GNLY",1.29001269881909e-58,2.50023081347576,0.383,0.033,2.23533400451372e-54
"GIMAP7",1.76263455405028e-35,2.10084785587621,0.37,0.051,3.05429315525833e-31
"GIMAP4",3.24541478979497e-34,1.93311862845432,0.272,0.029,5.62365474775673e-30
"GZMB",3.72226122617697e-32,2.09436463646053,0.37,0.056,6.44993425271945e-28
"HOPX",1.37178173134254e-27,1.8562269665722,0.383,0.068,2.37702338407036e-23
"CTSW",3.00037535205204e-26,1.97458751037809,0.481,0.111,5.19905041003577e-22
"HCST",1.03800030197372e-21,1.38541015155949,0.753,0.288,1.79864692326006e-17
"TBC1D10C",1.23689110521645e-21,1.81062336336659,0.321,0.061,2.14328490711906e-17
"RAC2",1.34486197136541e-21,1.64808601267001,0.543,0.162,2.33037682398199e-17
"CORO1A",1.38314221983885e-21,1.47042239297914,0.716,0.257,2.39670883853675e-17
"APOBEC3G",2.41368994402613e-21,1.78498041701739,0.284,0.05,4.18244193500848e-17
"CST7",5.5602577975997e-19,1.77184407291108,0.457,0.134,9.63481471168076e-15
"CD7",2.06811146050604e-18,1.8308717349141,0.259,0.047,3.58362353876487e-14
"CD52",3.13424459413913e-18,1.18941549558224,0.84,0.37,5.43101903272428e-14
"CD3D",2.3686438158552e-16,1.1950089116711,0.667,0.255,4.10438600411389e-12
"PTPRCAP",4.43251302234602e-16,1.18653540765926,0.642,0.229,7.68065856512119e-12
"IL32",1.27130516865868e-15,1.02408822023675,0.877,0.444,2.20291759625176e-11
"KLRB1",1.37385851809433e-15,1.72719343404846,0.272,0.058,2.38062204015385e-11
"IL2RG",1.59014157060953e-14,1.25892178640556,0.543,0.207,2.7553973135522e-10
"ITGB2",1.70496887625029e-13,1.67878794829317,0.444,0.166,2.95437006876651e-09
"CD37",2.01504490668374e-13,1.32409537426457,0.432,0.146,3.49166981430158e-09
"CD2",6.06512812079891e-13,1.15852630644274,0.519,0.189,1.05096540077203e-08
"HLA-C",1.3559431044807e-12,0.728361450335266,0.914,0.665,2.34957821144416e-08
"LCK",2.13582674889226e-12,1.21993662101512,0.309,0.084,3.70096059048051e-08
"PTPRC",6.96135328379043e-12,0.985346653845763,0.679,0.319,1.20626329701521e-07
"TSTD1",7.68795824671677e-12,1.39239866373409,0.358,0.117,1.33216940499108e-07
"SRGN",1.2693886803233e-11,1.01848658899556,0.63,0.284,2.19959670526422e-07
"HLA-B",4.55052976968455e-11,0.632293696292977,0.926,0.719,7.88515798490939e-07
"ALOX5AP",8.77298889036099e-11,1.15222551834036,0.58,0.267,1.52018351492175e-06
"MYL12A",9.09254758997492e-11,0.783118590303939,0.827,0.59,1.57555664639085e-06
"LIME1",1.17028762070765e-09,1.10481132078869,0.321,0.106,2.02787438916221e-05
"ARHGDIB",4.45578260048451e-09,0.978258483309554,0.556,0.278,7.72098009011955e-05
"ID2",6.33034469638391e-09,0.90973165247944,0.667,0.405,0.00010969221289894
"HLA-A",6.4383301127589e-09,0.585854346893214,0.901,0.698,0.000111563384193886
"CD53",1.16343770036816e-08,1.05662725066627,0.432,0.189,0.000201600484719795
"CYBA",1.38874135310486e-08,0.695023832301493,0.802,0.575,0.000240641101666009
"VAMP8",1.68494240703312e-08,1.12490226893666,0.407,0.179,0.000291966820290699
"SH3BGRL3",1.83754526772181e-08,0.622094911545471,0.864,0.679,0.000318409843990836
"ICAM3",2.12709312991346e-08,1.06011066507521,0.333,0.126,0.000368582697551404
"B2M",4.92207636095202e-08,0.342057738729991,0.988,0.941,0.000852897391825766
"CD3E",9.63075911903069e-08,1.06160344501855,0.321,0.123,0.00166881794014564
