"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IL32",6.90051966623439e-263,1.79079344409324,0.898,0.37,1.19572204776509e-258
"CD52",7.68100253544582e-255,1.85077784001162,0.855,0.291,1.33096411934205e-250
"CD3D",4.07545426926631e-233,1.98265435987382,0.715,0.18,7.06194715778467e-229
"PTPRC",3.52761465743333e-210,2.03581484892045,0.731,0.252,6.11265067840047e-206
"PTPRCAP",1.01186200651686e-205,1.99370956052358,0.646,0.162,1.75335448489241e-201
"ALOX5AP",4.00088167910526e-196,1.99699366789179,0.665,0.201,6.9327277735536e-192
"B2M",1.74473675322127e-173,0.671923912590197,0.984,0.934,3.02327984598181e-169
"TMSB4X",5.94375399008545e-144,0.553359341165449,0.988,0.955,1.02993369140201e-139
"CD2",8.45302909393978e-142,1.95149423828106,0.51,0.138,1.46474088139789e-137
"FYB",1.46133111127661e-127,2.05512891866977,0.437,0.111,2.53219454962012e-123
"HCST",3.2348209843568e-126,1.6166038151496,0.61,0.239,5.60529780169346e-122
"IL7R",2.12672092570091e-120,2.02551402794318,0.434,0.116,3.68518202005454e-116
"S100A4",1.10459246704562e-118,0.560236773507421,0.952,0.896,1.91403782689665e-114
"HLA-A",3.85274602577299e-115,0.917853791845356,0.837,0.677,6.67603831345943e-111
"LPAR6",4.3926867392929e-109,1.86094915090445,0.486,0.168,7.61164758184673e-105
"ACTB",5.80802455238251e-108,0.493665033839926,0.949,0.908,1.00641449443684e-103
"HLA-B",9.95812959107383e-104,0.808594196577782,0.844,0.7,1.72554469554127e-99
"LTB",7.97999333447126e-95,1.67547815437907,0.481,0.176,1.38277324499718e-90
"BCL11B",3.07845226561167e-92,1.9132068949274,0.314,0.072,5.3343420858519e-88
"ACAP1",5.1617389344723e-89,1.7411036406488,0.413,0.133,8.9442612256536e-85
"CD3G",3.64102355559438e-86,1.7664282984409,0.31,0.075,6.30916561713394e-82
"SH3BGRL3",3.26758998717403e-85,0.826242084797733,0.78,0.664,5.66207992977515e-81
"ARHGDIB",1.97781231674211e-81,1.42004540764635,0.522,0.239,3.42715318245072e-77
"MYL12A",5.28100228228671e-79,0.960158951093951,0.722,0.571,9.15092075474642e-75
"CORO1A",4.36193298059041e-78,1.44915426761044,0.502,0.222,7.55835746876706e-74
"IL2RG",2.10838423729046e-76,1.54823168070038,0.439,0.171,3.65340820637691e-72
"TRAT1",1.32620838775172e-75,1.59942871651867,0.278,0.067,2.29805389429618e-71
"LIME1",3.9381773815999e-75,1.63067973692274,0.295,0.076,6.8240737668363e-71
"TMSB10",2.78373643307866e-73,0.371770438226048,0.948,0.946,4.8236584912387e-69
"HLA-C",3.9494341224628e-73,0.79431827312358,0.761,0.652,6.84357944740355e-69
"CFL1",9.065331664578e-69,0.738726576063886,0.754,0.669,1.57084067083808e-64
"RAC2",2.14879071892753e-68,1.52974190781271,0.371,0.132,3.72342455775763e-64
"GMFG",4.68440980534915e-67,1.44970888219419,0.448,0.202,8.117145310709e-63
"CD96",1.32869570902878e-66,1.60390144634516,0.256,0.064,2.30236392460508e-62
"ETS1",2.56822345770182e-66,1.59601435747953,0.404,0.164,4.45021760750571e-62
"STK17B",2.65073570888815e-63,1.4671734115345,0.448,0.207,4.59319483636139e-59
"NBAS",3.6610667596848e-63,1.53171804600101,0.324,0.108,6.34389648118182e-59
"PTMA",2.69691921210775e-61,0.424527246049509,0.892,0.876,4.67322161074031e-57
"SAMSN1",2.8837107318065e-61,1.47519534940179,0.379,0.148,4.9968939560743e-57
"KIAA1551",1.92983852415871e-60,1.80494880796277,0.306,0.103,3.34402419466221e-56
"CD3E",2.00030157267913e-59,1.44043654116941,0.301,0.095,3.4661225651384e-55
"IKZF1",4.63627379352436e-59,1.70169398130042,0.258,0.074,8.03373522941901e-55
"BATF",1.15740979766906e-57,1.38697035575935,0.335,0.118,2.00555969740095e-53
"IFITM1",1.67746899787984e-57,0.76489084787218,0.741,0.602,2.90671827952619e-53
"SYNE2",2.82772226194716e-57,1.69630466193492,0.325,0.121,4.89987713550204e-53
"CTSW",1.0637189435813e-56,1.41493468352093,0.282,0.088,1.84321218543767e-52
"FXYD5",2.2348775465528e-56,1.24229764937501,0.542,0.336,3.8725958126667e-52
"PFN1",1.72180030371148e-54,0.640226799138266,0.745,0.682,2.98353556627125e-50
"CRIP1",4.09674517621857e-52,0.397010882055739,0.878,0.868,7.09884004135154e-48
"EMB",7.05019290252692e-52,1.54211568386166,0.303,0.114,1.22165742614987e-47
"CD53",3.14155971387124e-50,1.46099605332529,0.363,0.162,5.44369467219608e-46
"SRGN",1.06440663412196e-49,1.09412115713576,0.484,0.254,1.84440381560653e-45
"CYBA",1.80421004363116e-48,0.819602190102752,0.669,0.562,3.12633516360407e-44
"CD48",2.09857491257198e-45,1.36487077214235,0.261,0.09,3.63641060850473e-41
"TNFSF10",6.12261062101972e-45,1.32271619106951,0.37,0.176,1.0609259684103e-40
"ACTG1",2.98966886891601e-44,0.425178487574716,0.762,0.773,5.18049821605766e-40
"GAPDH",6.9085020624126e-43,0.492988631006909,0.741,0.744,1.19710523737486e-38
"C1orf162",2.2019800437773e-40,1.45994243826585,0.265,0.104,3.81559101985731e-36
"AMICA1",4.52826732637524e-39,1.35230856820579,0.315,0.144,7.84658162314302e-35
"RNF213",5.79734306955264e-39,1.18640890098552,0.48,0.313,1.00456360709208e-34
"BIRC3",1.2466717938968e-38,1.23789342099084,0.416,0.231,2.16023288446437e-34
"ARHGAP30",1.80832430297496e-37,1.39494428337467,0.267,0.109,3.13346435219501e-33
"LCP1",1.89114463432199e-36,1.07500008956455,0.409,0.227,3.27697542235315e-32
"FAU",3.89213780175244e-36,0.357563448803556,0.808,0.828,6.74429638287662e-32
