"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CLEC9A",0,2.43702316482993,0.455,0.001,0
"IRF8",0,3.35344911986334,0.777,0.02,0
"NAPSB",0,3.34811650608161,0.76,0.029,0
"S100B",0,3.61030702910357,0.934,0.046,0
"WDFY4",0,3.026393723511,0.711,0.022,0
"KCNJ2",1.91120168277771e-304,2.45646233433161,0.388,0.003,3.31173027591722e-300
"C1orf54",5.09438431581881e-263,3.41586689204476,0.901,0.062,8.82754914245083e-259
"WFDC21P",4.7586950873861e-244,3.11306511090417,0.901,0.064,8.24586684742263e-240
"DNASE1L3",6.23586961084197e-233,2.7908553761455,0.678,0.034,1.0805514861667e-228
"CPVL",4.63809076834865e-211,3.17885650821511,0.86,0.075,8.03688368339454e-207
"TACSTD2",1.09061208705065e-194,2.94967789265917,0.736,0.053,1.88981262444136e-190
"SCN9A",1.25567573284797e-178,2.33032970107935,0.479,0.021,2.17583490987897e-174
"FCER1A",5.30320230529263e-175,2.94434032246343,0.76,0.065,9.18938895461108e-171
"CADM1",1.07204323286746e-173,1.81710408084383,0.347,0.009,1.85763651391273e-169
"LYZ",3.94441629559921e-173,2.67373871709802,0.884,0.089,6.83488455701431e-169
"PRKAR2B",4.07587194685297e-162,2.00472739283955,0.397,0.015,7.06267090950682e-158
"HLA-DPA1",1.94794918235948e-155,2.87357781851107,1,0.156,3.3754063431925e-151
"HLA-DOB",1.55893048866445e-152,1.87003724318268,0.339,0.011,2.70131475075776e-148
"MPEG1",5.59444210122244e-152,1.96643442083836,0.355,0.012,9.69404927299824e-148
"CLEC7A",6.90397451483351e-145,2.51217663641007,0.669,0.061,1.19632070393035e-140
"HLA-DPB1",9.67822835684234e-144,2.76377532568911,1,0.173,1.67704340967364e-139
"HLA-DQB1",1.07115403137999e-142,2.68585172842456,0.95,0.141,1.85609570557524e-138
"SPI1",5.0202499573567e-141,2.52626244403253,0.727,0.075,8.69908912610769e-137
"CLEC10A",6.04963316488823e-141,2.76696595941311,0.727,0.076,1.04828043481183e-136
"HLA-DQA1",4.22148512830633e-140,2.65122044091651,0.802,0.092,7.31498943032921e-136
"HLA-DMB",4.76993217509279e-140,2.46316183188989,0.711,0.071,8.26533847300078e-136
"HLA-DRA",9.85616651296318e-137,2.74041067884456,1,0.176,1.70787653336626e-132
"RNASE6",4.59860151883833e-135,2.65610311931998,0.628,0.057,7.96845671184306e-131
"HLA-DMA",1.21708451095101e-128,2.51356552575998,0.793,0.101,2.10896404057591e-124
"HLA-DRB1",1.98556573493922e-128,2.60202896531166,0.909,0.135,3.44058830550268e-124
"LST1",4.10751053722187e-124,2.45679209568173,0.777,0.098,7.11749425889805e-120
"LGALS2",5.35194899921661e-114,2.34899722394435,0.645,0.071,9.27385722584254e-110
"P2RY14",5.67640789935122e-110,1.84996939801698,0.421,0.029,9.83607960799579e-106
"NAAA",6.86061510194705e-110,2.28145130559804,0.678,0.085,1.18880738486538e-105
"FKBP1B",3.02108796164996e-109,1.56284585142928,0.273,0.01,5.23494121994705e-105
"PPT1",1.00034292666192e-104,2.36838613023238,0.818,0.144,1.73339422331977e-100
"HLA-DRB6",1.38426653198431e-104,2.38165146594739,0.702,0.095,2.39865704662241e-100
"MARCH1",2.07602750832599e-102,1.99250516986311,0.405,0.029,3.59734046642727e-98
"LY86",3.51943842727575e-100,1.76032647871088,0.339,0.02,6.09848290678342e-96
"CD74",2.46260142856549e-99,2.34798648801458,1,0.276,4.26719575541828e-95
"AIF1",5.36244556577106e-98,2.17494532002407,0.636,0.078,9.29204567636809e-94
"CD1C",4.50414589694545e-94,2.28014319388671,0.603,0.075,7.80478401022707e-90
"CCSER1",1.15138733804065e-93,1.66047455086232,0.264,0.012,1.99512397935685e-89
"SYNGR2",1.51606962716721e-90,2.09976298120541,0.669,0.097,2.62704544995534e-86
"CLDN1",3.43763074879918e-85,2.28626369976895,0.455,0.047,5.95672656151921e-81
"GNB4",3.47113411254904e-83,2.13557862153126,0.521,0.064,6.01478119022497e-79
"APOBR",1.09265562483564e-81,1.99638773926575,0.405,0.037,1.8933536667152e-77
"SLAMF8",2.22512747482714e-81,1.76353730987119,0.347,0.027,3.85570088838047e-77
"CD1A",2.39586078463246e-81,2.05878554633432,0.512,0.061,4.15154756761113e-77
"IFI30",3.36931319631812e-79,2.18408144725291,0.669,0.108,5.83834590658004e-75
"PTPRE",3.92735346509651e-79,2.01435944364326,0.678,0.112,6.80531808431922e-75
"VMO1",3.10564679199755e-78,1.76481725662763,0.314,0.023,5.38146476117336e-74
"HPS5",7.65519810445296e-75,1.94441537230594,0.413,0.043,1.32649272753961e-70
"MNDA",1.07883607183017e-74,1.97877193939915,0.488,0.06,1.86940714526731e-70
"HLA-DQA2",2.77902010945136e-71,2.18162855333582,0.587,0.094,4.81548604565732e-67
"FCER1G",9.33871093110926e-70,1.82721093698008,0.587,0.087,1.61821183014261e-65
"SHTN1",1.69076128660283e-69,1.7999196729313,0.43,0.051,2.92975115742539e-65
"F11R",8.46304460002894e-68,1.71533283078455,0.289,0.022,1.46647636829301e-63
"RAB32",1.2309747110884e-65,1.90997585729746,0.57,0.099,2.13303297937399e-61
"HCK",2.23955752120331e-64,1.77484820175303,0.38,0.043,3.8807052727411e-60
"SNX10",6.18309511787303e-63,1.68005277763048,0.471,0.065,1.07140672202504e-58
"ALDH2",1.32440430674732e-62,1.85793332991043,0.479,0.071,2.29492778273176e-58
"CLEC4A",4.88240256871286e-62,1.89805693382689,0.421,0.055,8.46022717106564e-58
"TYROBP",8.5543546032105e-62,1.812530924136,0.603,0.101,1.48229856564431e-57
"MAP3K13",2.50714776503483e-61,1.82355754127326,0.62,0.121,4.34438564725236e-57
"PLEK",4.94241656418597e-61,1.88620940021325,0.471,0.067,8.56421942242145e-57
"SLC27A3",5.10815754257849e-61,1.87079184864786,0.595,0.112,8.85141538978001e-57
"HAVCR2",6.81466901807886e-59,1.71656560629561,0.264,0.022,1.18084584745271e-54
"NDRG2",1.4218123565264e-57,1.73348189472603,0.471,0.072,2.46371645138894e-53
"GGTA1P",3.5315045135802e-56,1.6462023855684,0.413,0.057,6.11939102113176e-52
"DAPP1",3.05802221724214e-54,1.62932759066296,0.43,0.063,5.29894089803718e-50
"IGSF6",4.11921728835584e-54,1.85201918408032,0.388,0.053,7.137779717263e-50
"TCEA3",1.15236766322583e-53,1.51267050935453,0.446,0.068,1.99682268683772e-49
"RGS10",1.46178891186154e-53,1.62657031473093,0.769,0.204,2.53298782647367e-49
"MCOLN2",2.20134101658357e-53,1.59973540089689,0.331,0.038,3.81448371353602e-49
"UCP2",3.09373354349526e-51,1.60345032126152,0.562,0.11,5.36082148416858e-47
"C1QC",2.7533451381321e-50,1.68554331286822,0.322,0.038,4.7709964553553e-46
"TAP2",3.97291585970066e-50,1.51678283532686,0.388,0.055,6.8842686016893e-46
"LCP1",1.96099051411821e-49,1.50257310902034,0.851,0.24,3.39800436286404e-45
"UNC119",3.48368747779006e-49,1.39962038765184,0.314,0.037,6.03653366151461e-45
"FGD2",5.32460088699849e-49,1.69876883753275,0.264,0.027,9.22646841699098e-45
"LTB",2.79358094331468e-48,1.51493286650911,0.793,0.209,4.84071705857568e-44
"BASP1",1.70002997870154e-45,1.67854854273875,0.645,0.171,2.94581194709402e-41
"HLA-DRB5",9.94068155567078e-45,1.78118790640931,0.281,0.033,1.72252129996663e-40
"MAP1S",1.21293607220433e-44,1.57201444475437,0.298,0.037,2.10177562591567e-40
"EGLN3",2.30822799578544e-44,1.46222962007167,0.314,0.041,3.99969747109701e-40
"VAMP8",7.67152703499483e-44,1.41264433444234,0.678,0.17,1.3293222046239e-39
"GRN",6.61033408021312e-43,1.47208361611173,0.777,0.254,1.14543868941933e-38
"RAB7B",2.46774855916175e-42,1.5411203185737,0.347,0.052,4.27611470331548e-38
"CXCL16",4.46532254625817e-42,1.60388500084442,0.355,0.055,7.73751090815615e-38
"CST3",1.6667744780116e-41,1.09778273693161,1,0.579,2.8881868154985e-37
"TAP1",4.13077364424646e-41,1.44634853864184,0.488,0.101,7.15780457075027e-37
"CSTB",1.11030253359479e-40,1.29785985731539,0.893,0.394,1.92393223021305e-36
"CECR1",3.81514387922729e-40,1.35701285098477,0.298,0.04,6.61088131392505e-36
"C15orf48",7.49730084479934e-40,1.61929260990148,0.372,0.061,1.29913229038683e-35
"RAB11FIP1",4.81452638683916e-39,1.40632607521577,0.529,0.119,8.34261132311489e-35
"ASAP1",5.18556212228095e-39,1.61482208248535,0.496,0.111,8.98554204548844e-35
"PARVG",6.17947400735515e-39,1.51884979971585,0.281,0.038,1.0707792559945e-34
"EVI2A",1.09277263392343e-38,1.28614562403785,0.512,0.11,1.89355642006252e-34
"KCNK6",9.72174271839589e-38,1.66381607081239,0.347,0.059,1.68458357824364e-33
