"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"cebpa",0,2.77279215147204,0.873,0.011,0
"spi1b",3.94179147275807e-307,3.38753033082148,0.863,0.011,6.95765612856526e-303
"tal1",1.51336890594002e-295,2.33808278106772,0.799,0.004,2.67124745587473e-291
"ikzf1",8.45061338574981e-249,1.39977103846101,0.672,0.002,1.4916177687187e-244
"hbae1.3",4.43975924998123e-246,3.45373945974451,0.706,0.009,7.83661905214188e-242
"hbae1.1",1.5003449008621e-236,3.96696474280315,0.735,0.018,2.64825878451168e-232
"drl",7.64876292969396e-227,1.43312104233904,0.608,0.001,1.35008314472028e-222
"hbbe1.2",6.16258117747208e-223,3.60693890216837,0.706,0.018,1.0877572036356e-218
"f13a1b",2.67697633514219e-218,2.14975004900959,0.725,0.024,4.72513092915948e-214
"drll.1",5.1573923963549e-215,1.08396098575903,0.569,0,9.10331331880604e-211
"myb",3.51607130448161e-213,1.49735326865416,0.676,0.017,6.20621745954049e-209
"clic2",1.78834636746206e-211,1.43631143566208,0.647,0.012,3.15661017320728e-207
"yrk",2.88926794186803e-205,1.23023331213513,0.701,0.026,5.09984684419126e-201
"lmo2",1.07658117266188e-204,2.45628126075352,0.637,0.013,1.90027342786548e-200
"il6r",2.9896083095923e-203,1.62401532647423,0.549,0.001,5.27695762726137e-199
"bpifcl",1.00988691862449e-201,1.21767880332584,0.569,0.004,1.78255140006409e-197
"nrros",7.76863166658995e-196,1.05941432527516,0.539,0.002,1.37124117546979e-191
"blf",1.28689950700511e-195,2.74832634349469,0.696,0.031,2.27150631981473e-191
"samsn1a",5.83836773481668e-192,1.56091180310404,0.534,0.003,1.03053028887249e-187
"irf8",3.2898024050957e-188,1.47166798880369,0.559,0.008,5.80683022523442e-184
"si:ch73-160i9.3",8.57406031513871e-188,0.966082682298234,0.51,0.001,1.51340738622513e-183
"fli1b",7.40816531540075e-186,0.889066296770677,0.505,0.001,1.30761525982139e-181
"sla1a",6.20834389165471e-184,0.912982255499557,0.505,0.002,1.09583478031597e-179
"tnfrsf1a",1.33047256811898e-183,0.858481143997412,0.598,0.015,2.34841712998681e-179
"ly75",7.89697364973001e-181,1.05212938365449,0.559,0.011,1.39389481891384e-176
"mmp13a.1",3.98751890442139e-180,1.90464003505175,0.495,0.002,7.0383696181942e-176
"si:zfos-741a10.3",4.54703525419109e-180,0.986268214242116,0.49,0.001,8.0259719271727e-176
"dipk2b",9.54420247582962e-180,0.800765311469275,0.49,0.001,1.68464717900869e-175
"drll.2",3.35829708673459e-178,1.17860464749193,0.48,0.001,5.92773018779522e-174
"kctd12.2",4.58402830938562e-175,1.88537513927715,0.789,0.065,8.09126836889655e-171
"lcp1",7.63618088911469e-175,2.45320475868103,0.495,0.004,1.34786228873763e-170
"fcer1gl",1.4870187423834e-174,2.26837589430447,0.52,0.007,2.62473678218093e-170
"hbbe1.3",7.05227396171996e-174,4.63351900298635,0.775,0.068,1.24479687698319e-169
"txn",2.13632868169947e-172,2.22196578161918,0.691,0.043,3.77083375606773e-168
"cebpb",3.26052964771693e-172,3.41700246392773,0.75,0.064,5.75516088118515e-168
"BX649411.1",3.42063229624429e-170,1.74777573123898,0.603,0.025,6.0377580661008e-166
"dusp5",5.23871185317309e-170,2.4948777093259,0.882,0.127,9.24685029203582e-166
"parvg",6.80266355608371e-165,1.04842535820923,0.471,0.004,1.20073814428434e-160
"zgc:171686",7.94874287356203e-161,0.611959780766834,0.441,0.001,1.40303260461243e-156
"ccdc88b",9.21843655393593e-159,0.764729599902887,0.436,0.001,1.62714623613523e-154
"ncf1",5.78206538741235e-155,1.93874542895552,0.466,0.007,1.02059236153215e-150
"si:ch211-212k18.7",8.52426106207854e-152,1.57175916684978,0.554,0.024,1.50461732006748e-147
"krt94",1.95315973338916e-150,1.48593845487726,0.549,0.022,3.4475222454052e-146
"hbae3",2.43670479860622e-150,3.53869568593938,0.554,0.024,4.30102764001984e-146
"cybb",1.45321978458937e-149,0.999951834339897,0.422,0.002,2.56507824177869e-145
"mafbb",9.63124222164639e-147,1.53256810177156,0.446,0.007,1.7000105645428e-142
"lygl2",7.15483476364003e-146,1.01799389279647,0.417,0.003,1.2628998841301e-141
"rhogb",1.25119656587703e-145,0.884882703504149,0.544,0.025,2.20848705842955e-141
"arhgap45b",1.34264856650802e-145,0.637504140393269,0.402,0.001,2.3699089847433e-141
"ptpn6",6.68376977928887e-144,1.06236207157611,0.407,0.002,1.17975220374228e-139
"RASSF5",2.21436038046305e-143,0.731964321635905,0.49,0.015,3.90856750755532e-139
"coro1a",3.53433519284648e-143,2.40559425396745,0.48,0.014,6.23845504889332e-139
"hlx1",3.91035950688914e-142,0.957366019177572,0.407,0.003,6.90217556561002e-138
"slc22a21",4.38028472940094e-142,1.47707712808287,0.412,0.004,7.73164057586559e-138
"ctss2.2",5.95659860595162e-142,1.83778311634057,0.397,0.002,1.05139921993652e-137
"plxnc1",3.30544960417764e-138,0.89525117878041,0.392,0.002,5.83444909633395e-134
"cxcr3.2",1.70796073462444e-136,1.32868458425736,0.387,0.002,3.01472149268559e-132
"gp1bb",2.88758527189053e-136,0.777982349329752,0.436,0.009,5.09687676341398e-132
"fut8a",3.39708290655253e-136,2.07734403383661,0.799,0.124,5.99619103835587e-132
"CABZ01066694.1",4.82969231848628e-136,0.443576792893214,0.377,0.001,8.52488991136013e-132
"wasa",1.08039858866663e-134,0.681726224605496,0.397,0.004,1.90701154885546e-130
"ahcyl1",7.90038471120924e-133,0.613522251175514,0.397,0.005,1.39449690537554e-128
"itgb2",1.49492411972179e-132,0.641170352329514,0.363,0.001,2.63869056372093e-128
"lxn",4.30489726804686e-132,1.30325651399618,0.5,0.024,7.59857416782951e-128
"rac2",6.10476791349238e-132,2.0238236228774,0.701,0.085,1.07755258441054e-127
"grap2b",3.70293715115146e-129,1.14055355037776,0.348,0,6.53605436549745e-125
"lpar5a",5.93731036937652e-127,0.553274561944964,0.353,0.001,1.04799465329865e-122
"inka1b",1.83170142894712e-126,1.9575867597606,0.765,0.127,3.23313619223456e-122
"vsir",3.13488929598454e-126,0.794807723559259,0.397,0.007,5.53339309634231e-122
"CR855337.1",1.95241571445034e-123,0.79001500115744,0.431,0.014,3.44620897757629e-119
"rnaset2l",2.61503022718897e-123,1.08633447662327,0.353,0.002,4.61578985401125e-119
"CABZ01073834.1",2.87992270107605e-123,0.577817743084728,0.343,0.001,5.08335155966933e-119
"cbfa2t3",1.27552062457144e-122,0.696275594850051,0.431,0.014,2.25142145443105e-118
"ppp1r18",1.62755715842543e-121,0.482481583517193,0.333,0.001,2.87280114033672e-117
"si:ch73-248e21.5",7.12854813724761e-120,0.519191395702749,0.324,0,1.25826003170558e-115
"FO203432.1",9.03363972790386e-118,2.21902415562967,0.328,0.001,1.59452774837231e-113
"ncf2",1.21883220203318e-117,1.00345114209059,0.338,0.002,2.15136071980877e-113
"lcp2a",3.57177847452213e-116,0.455365857560155,0.314,0,6.30454618537901e-112
"nfe2l2a",7.03959167893579e-116,0.809987542683542,0.554,0.046,1.24255832724896e-111
"cyba",4.28085263900172e-113,1.33299603226434,0.456,0.025,7.55613299310194e-109
"zgc:162730",3.41832456109727e-112,2.73307051053175,0.926,0.317,6.03368468279279e-108
"ctsk",1.62708193912116e-111,1.06745195962276,0.632,0.078,2.87196233074276e-107
"lyn",1.22436958179476e-110,0.412696427642385,0.299,0,2.16113474882592e-106
"arl4aa",9.53701017641841e-110,1.48135736706814,0.608,0.07,1.68337766623961e-105
"spi1a",1.24721629104482e-108,0.890991135636133,0.299,0.001,2.20146147532321e-104
"sowahd",2.15191107757245e-108,0.486888486539409,0.309,0.002,3.79833824302313e-104
"si:rp71-1h20.9",2.20632629139081e-108,0.674146836693855,0.417,0.017,3.89438653693393e-104
"mpeg1.1",8.85614133186071e-107,1.09109285615347,0.294,0.001,1.56319750648673e-102
"syk",1.45787146816377e-106,0.357351505458159,0.299,0.001,2.57328892845587e-102
"esama",2.1191021771486e-106,0.685214448028563,0.368,0.011,3.74042725288499e-102
"card9",3.74015299462268e-106,1.05874399983827,0.343,0.007,6.6017440508085e-102
"hhex",5.43468937266602e-106,0.494502454323,0.319,0.004,9.59277021169279e-102
"zgc:194312",5.99822956536269e-106,0.37245756438774,0.314,0.003,1.05874750058217e-101
"fmnl1a",4.02976891931438e-105,0.487982282695284,0.284,0,7.11294511948181e-101
"tnfaip8l2a",4.02976891931438e-105,0.335583866776948,0.284,0,7.11294511948181e-101
"lygl1",4.89389056909704e-103,2.17501163739251,0.304,0.003,8.63820624351319e-99
"si:ch211-243a20.4",1.87832319809766e-101,0.421800439663865,0.275,0,3.31542827696218e-97
"TAGAP",1.87832319809766e-101,0.359481270964772,0.275,0,3.31542827696218e-97
"mfng",3.40723409890176e-101,0.37849549471175,0.279,0.001,6.01410890797149e-97
"clec14a",3.44128662928463e-101,1.10894730325801,0.279,0.001,6.07421502935029e-97
