"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"cldn1",0,2.33005905727332,0.849,0.003,0
"epcam",0,3.78826576598954,1,0.026,0
"cd9b",2.08694069725071e-301,2.48833674517608,0.952,0.025,3.68365902471723e-297
"gpa33a",1.74899853157929e-294,1.78734454667341,0.843,0.01,3.0871573080906e-290
"cldn7b",1.15006529219525e-288,1.57256536185112,0.795,0.005,2.02998024725384e-284
"ptgs2a",4.9094992644825e-271,2.61246974905336,0.729,0.003,8.66575715173806e-267
"f11r.1",3.94554485699376e-260,1.53020745595493,0.873,0.028,6.96428122707969e-256
"cfl1l",5.42310380511414e-258,4.57043211293183,0.982,0.058,9.57232052640697e-254
"fermt1",4.05514042257579e-254,1.3004370904735,0.705,0.005,7.15772835988852e-250
"vgll4l",3.90558416824581e-249,1.59358556138562,0.687,0.004,6.89374661537068e-245
"pitx2",3.95130441573283e-243,2.97981612226273,0.765,0.017,6.97444742421002e-239
"zgc:171775",2.02450310913521e-240,1.24026782962512,0.639,0.001,3.57345043793455e-236
"tp63",3.06797491470749e-240,1.92131998043738,0.789,0.022,5.4152825219502e-236
"krt4",8.24006689756695e-240,5.20327351315433,0.795,0.024,1.45445420808954e-235
"cldnb",1.25135676962257e-239,2.57932944609819,0.717,0.011,2.2087698340608e-235
"oclna",2.898099758688e-213,1.01748385262419,0.608,0.005,5.11543588406019e-209
"ecrg4b",8.23106693839506e-213,1.47798859764907,0.596,0.004,1.45286562529611e-208
"klf5l",1.29008372276957e-200,0.789819314611258,0.572,0.005,2.27712677906057e-196
"spint1a",2.26816411727581e-196,1.10683282454101,0.687,0.023,4.00353648340353e-192
"krt91",6.84850171602938e-193,1.51645533460127,0.536,0.003,1.20882903789635e-188
"bcam",3.21579790942039e-191,1.80057873311155,0.831,0.053,5.67620488991794e-187
"spint2",4.7056641397688e-190,1.00739046820966,0.56,0.007,8.3059677731059e-186
"lsr",1.94848530269644e-186,0.740165381602037,0.554,0.007,3.43927140778948e-182
"zgc:92360",8.35287787887093e-186,0.751241511558788,0.524,0.004,1.47436647439951e-181
"pcdh7b",7.62775546348902e-182,1.19808525218011,0.675,0.026,1.34637511686045e-177
"ppp1r1b",2.37681337805479e-178,0.844720490819106,0.5,0.003,4.19531329360452e-174
"tmsb1",4.10012982372473e-178,3.46699936371594,0.88,0.076,7.23713915185652e-174
"CABZ01086029.1",2.53222955714053e-175,0.798453472628893,0.578,0.014,4.46963839130875e-171
"rassf6",1.42286380199992e-173,0.680236021531775,0.464,0.001,2.51149689691006e-169
"si:dkey-16l2.20",2.99497826001332e-172,0.813559747133893,0.542,0.009,5.28643612674951e-168
"otx2a",9.07288076332730e-172,0.952770988990078,0.512,0.006,1.6014541835349e-167
"fgfrl1b",2.83769590609392e-170,1.34522362198024,0.705,0.039,5.00881704384638e-166
"sostdc1a",3.90073345816449e-168,1.77535193847341,0.494,0.005,6.88518462700614e-164
"isl2a",1.04858783325408e-167,1.05178012407087,0.59,0.017,1.85086238447677e-163
"si:ch211-67e16.11",1.94396501798048e-166,1.00360195371493,0.476,0.004,3.43129265323734e-162
"fras1",1.10647474460654e-162,0.909342354731775,0.572,0.018,1.95303857170501e-158
"foxa2",1.29986797738384e-161,1.2606390402584,0.44,0.001,2.29439696688022e-157
"ptk2bb",1.90440210604576e-159,0.619630027086876,0.428,0.001,3.36146015738137e-155
"egfl6",1.14353350026815e-158,1.33567362469986,0.56,0.017,2.01845098132332e-154
"tmem54a",3.50661765696499e-157,0.666069289622561,0.446,0.003,6.18953082630891e-153
"sema4e",4.87061041549507e-157,0.605816328135136,0.446,0.003,8.59711444439035e-153
"cyp26c1",2.90860122112214e-150,1.632945067207,0.59,0.026,5.1339720154027e-146
"tmc6b",3.55234356596241e-149,1.23952416873806,0.747,0.07,6.27024162828025e-145
"ptprfa",4.29396697558675e-149,0.676737540930607,0.482,0.01,7.57928110860818e-145
"tmem238a",6.07448592561373e-149,1.02226272369548,0.681,0.048,1.07220751073008e-144
"prss23",2.61266276803165e-148,0.755372820095819,0.512,0.014,4.61161105185266e-144
"zgc:92313",4.76050864230188e-148,0.654866425040607,0.482,0.01,8.40277380452704e-144
"st14a",1.03964845710042e-146,0.613111539963505,0.44,0.005,1.83508349162796e-142
"mid1ip1a",3.8370895364814e-143,0.943703007761079,0.41,0.003,6.77284674084333e-139
"shhb",6.70054969714535e-143,1.20477163810552,0.392,0.001,1.18271402704313e-138
"zgc:101810",8.64949602912665e-143,0.911229279993699,0.476,0.011,1.52672254410114e-138
"zgc:86896",1.40239866854764e-140,1.06567537004926,0.506,0.017,2.47537388985343e-136
"si:ch211-207d6.2",2.5553498644864e-139,0.671724085054687,0.416,0.005,4.51044804580495e-135
"sh3d21",5.19871222926473e-139,0.607741696672745,0.44,0.008,9.17624695587517e-135
"pdgfab",5.0226683410176e-137,1.60858846336003,0.675,0.057,8.86551188873016e-133
