"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"tnni1b",5.27267621162923e-293,4.63940285660037,0.966,0.01,9.30680078114676e-289
"actc1a",1.79588622227234e-276,3.11870876327192,0.828,0.005,3.16991877093291e-272
"myl7",2.24066565269693e-256,4.28356596044888,0.862,0.01,3.95499894357536e-252
"tdgf1",5.99330639558462e-249,3.03756744161921,0.914,0.014,1.05787851188464e-244
"nkx2.5",1.98415571098831e-247,2.41717194411554,0.69,0.002,3.50223324546546e-243
"rbfox1l",5.96961140055907e-216,2.06849396551314,0.707,0.007,1.05369610831268e-211
"gata6",1.97717779248949e-194,1.62622249644317,0.759,0.014,3.48991652152319e-190
"gdf3",1.28243829257516e-184,2.05087670280173,0.672,0.01,2.26363183022442e-180
"s1pr5a",4.7866465644731e-184,2.18934142827789,0.879,0.027,8.44890985095148e-180
"ttn.1",1.11485979813691e-176,1.57836462852761,0.603,0.007,1.96783902969147e-172
"COLEC10",1.4217607615557e-169,2.22087928892125,0.448,0.001,2.50954992022196e-165
"tnnt2a",2.61590039590699e-168,3.24638607094511,0.948,0.04,4.61732578881543e-164
"smtnl1",8.33070196967063e-166,3.192775128484,0.621,0.01,1.47045220466656e-161
"nexn",9.64148211416117e-158,1.28681943372284,0.448,0.002,1.70181800797059e-153
"cracr2b",5.59772717530056e-156,1.02195206541099,0.414,0.001,9.88054823712301e-152
"ttn.2",1.74381556100531e-154,2.9635041454856,0.81,0.03,3.07800884673048e-150
"podxl",4.11317623392852e-154,3.46353165312871,0.983,0.054,7.26016737050724e-150
"rbpms2b",2.90986805007303e-151,2.21931795252616,0.534,0.007,5.13620809518391e-147
"hand2",1.78920810272738e-150,4.01984117749785,0.966,0.051,3.1581312221241e-146
"si:ch73-190f9.4",2.72993564252626e-150,1.57824683563242,0.552,0.008,4.8186094026231e-146
"myh7",6.96162304739854e-145,3.15661661562164,0.466,0.004,1.22879608409632e-140
"popdc2",5.3260265972325e-143,1.03931422567874,0.397,0.001,9.40096954677509e-139
"tnnc1a",2.74018157659862e-142,2.08507006359878,0.362,0,4.83669450085422e-138
"mmel1",8.24147300157797e-141,1.17057381439515,0.534,0.009,1.45470239950853e-136
"gata5",1.47564970166189e-138,1.93054183079916,0.81,0.033,2.60466928840341e-134
