"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"her4.2.1",1.84593342877071e-171,3.80139049736299,0.796,0.041,3.25825709512317e-167
"gfap",1.05983287624876e-142,1.07628166505758,0.435,0.005,1.87071100986669e-138
"pou3f1",3.37567912472289e-137,1.52546387390195,0.5,0.012,5.95841122304837e-133
"sox19a",1.37800990865757e-132,1.41474174248365,0.454,0.009,2.43232528977147e-128
"olig3",1.71826836511134e-132,1.33652318459307,0.37,0.002,3.03291549125803e-128
"zic1",1.6896338970008e-129,0.935782683560954,0.38,0.003,2.98237279159612e-125
"her4.4",1.83832113669122e-126,2.50062645108753,0.602,0.029,3.24482063837367e-122
"ptprna",2.59590429237057e-121,0.570205564033867,0.324,0.001,4.58203066646329e-117
"zic2a",3.81666080428997e-113,1.51527525173834,0.5,0.02,6.73678798565222e-109
"zic4",3.96690304513276e-109,0.770366810964001,0.333,0.004,7.00198056496384e-105
"plp1a",4.40025517919046e-107,0.581124305282895,0.296,0.001,7.76689041678909e-103
"si:ch73-21g5.7",1.56755963803446e-103,1.66848407862287,0.269,0,2.76689951709463e-99
"meis2b",1.31830767576058e-98,1.45871510329658,0.491,0.027,2.32694487848501e-94
"lrrn1",1.61718596583489e-96,1.46968078614659,0.63,0.058,2.85449494829516e-92
"atoh1a",4.71783993300861e-96,1.26980029886765,0.306,0.004,8.32745926575351e-92
"zic5",4.38002557738091e-95,0.769901031384575,0.352,0.009,7.73118314663504e-91
"dla",1.77896754412141e-93,2.07662109998165,0.528,0.036,3.1400556121287e-89
"sox3",4.27103293489052e-89,2.13044534690236,0.713,0.081,7.53880023337526e-85
"her4.3",1.75339451892773e-87,0.82722080782211,0.417,0.02,3.09491666535934e-83
"fzd10",1.83237336776305e-85,0.978004370521699,0.463,0.029,3.23432223143855e-81
"her4.2",4.32722107581437e-84,3.41820497361895,0.824,0.152,7.63797792091995e-80
"irx1b",9.70964405575854e-83,0.736724694940833,0.333,0.011,1.71384927228194e-78
"cldn5a",2.82438388058372e-78,2.20843557764523,0.778,0.141,4.98531998761832e-74
"abhd6a",3.91215871145686e-77,3.29572959093318,0.407,0.024,6.90535134159251e-73
"epha2a",3.21223693129557e-76,0.827893770989262,0.417,0.026,5.66991940742981e-72
"pou3f3a",5.30460307091319e-75,0.453605171676162,0.25,0.004,9.36315488046888e-71
"pou3f3b",5.20874417405814e-74,0.633750392376028,0.389,0.022,9.19395434163003e-70
"elavl3",3.37043398879314e-73,2.75273109377014,0.454,0.036,5.94915303361877e-69
"ctnnd2b",9.89858602889206e-72,0.377203355685818,0.259,0.006,1.74719941995974e-67
"elovl4a",8.50799952500269e-71,0.369551813948577,0.25,0.005,1.50174699615822e-66
"crabp2a",2.90534091203395e-61,0.972536449734548,0.278,0.012,5.12821724383112e-57
"nova2",2.64888273738349e-59,1.70020534637917,0.88,0.27,4.6755429197556e-55
"msi1",1.28641550530666e-55,1.02558273458018,0.648,0.128,2.27065200841678e-51
"her12",3.7029283497352e-53,2.75590749448206,0.796,0.222,6.5360388301176e-49
"dld",9.25354424120515e-53,0.970606766456448,0.296,0.019,1.63334309401512e-48
"her2",6.16905215217114e-52,2.54635865303363,0.769,0.22,1.08889939537973e-47
"irx1a",3.82682560715844e-49,0.528344354650427,0.25,0.013,6.75472987919537e-45
"ptprn2",6.88284042653103e-49,0.495303078900864,0.25,0.013,1.21489016368699e-44
"her15.1",2.06868109791868e-47,2.54366895613442,0.907,0.414,3.65142900593627e-43
"her15.2",4.50897236826024e-47,2.49541262863877,0.898,0.379,7.95878712721615e-43
"epb41a",4.52325100868261e-45,0.589888511545299,0.435,0.06,7.98399035542568e-41
"her4.1",5.0069700903157e-43,2.3797050556248,0.722,0.203,8.83780290641625e-39
"pcdh19",2.11411385387767e-42,0.711313563115613,0.491,0.083,3.73162236347947e-38
"sox2",2.57540289383212e-39,0.715922427301995,0.472,0.081,4.54584364790307e-35
"dlb",1.53363173155875e-38,1.17770009032297,0.25,0.02,2.70701336937435e-34
"tuba1c",4.06947818528129e-35,1.89218275120314,0.713,0.28,7.18303594484001e-31
"tuba1a",5.64304355017537e-34,1.51443409836938,0.852,0.445,9.96053617041455e-30
"lfng",2.76725435739012e-32,1.46973790438621,0.722,0.264,4.8844806662293e-28
"nr2f1a",2.09102324723751e-31,0.944642366344608,0.491,0.116,3.69086513369893e-27
"nr2f1b",4.74489495785668e-31,0.91973144130579,0.426,0.085,8.37521409011282e-27
"mxi1",6.24636059936483e-31,0.804111369373692,0.435,0.094,1.10254510939389e-26
"tox",7.13733569371667e-29,0.733677715405911,0.574,0.178,1.25981112329793e-24
"ptmab",4.31666810088802e-28,0.791732036395032,1,1,7.61935086487745e-24
"zbtb18",8.46422807529458e-28,0.646353494386492,0.38,0.077,1.49402089757025e-23
"si:ch211-212k18.5",1.05044581949204e-27,0.919070150950944,0.593,0.21,1.85414191598539e-23
"cspg5a",1.26235133360883e-27,0.438018280186836,0.306,0.048,2.22817633895294e-23
