"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"pax3a",6.59273901064474e-243,2.01716832633766,0.897,0.083,1.1636843627689e-238
"sox9b",1.08352970317441e-228,2.04108059051177,0.832,0.08,1.91253827907314e-224
"zic2b",1.13404534772116e-209,2.26240928598171,0.948,0.165,2.00170344326263e-205
"snai1b",1.00726410367769e-202,2.3229140908901,0.984,0.308,1.77792186940149e-198
"atp1b3a",2.825320850887e-168,2.19807305763683,0.997,0.621,4.98697383390065e-164
"foxd3",7.58686827569978e-166,1.98212721751031,0.875,0.181,1.33915811934377e-161
"hspb1",4.45289444990713e-158,2.49854794252681,0.967,0.4,7.85980399353107e-154
"msx3",3.13708448299258e-155,1.78601397528938,0.853,0.195,5.5372678209302e-151
"sox10",1.08133536006452e-154,2.41318664625636,1,0.562,1.90866504404988e-150
"tfap2a",4.58147367614931e-138,1.54273987790977,0.981,0.523,8.08675918577115e-134
"lfng",1.3826780756338e-133,1.03025111830986,0.802,0.162,2.44056507130122e-129
"kalrnb",2.45848570983084e-131,0.784575127154625,0.668,0.095,4.33947312642241e-127
"mdkb",1.2896147465181e-117,1.23148444896807,0.976,0.484,2.2762989890791e-113
"ptgdsb.1",3.09998613731166e-117,1.64844024652136,0.973,0.575,5.47178553096882e-113
"twist1b",3.15487832759812e-117,1.60751218927577,0.845,0.309,5.56867573604345e-113
"apoeb",2.1657536841854e-116,1.30209225691307,0.946,0.368,3.82277182795566e-112
"hmga1a",1.06660718585457e-111,0.836378594796557,1,1,1.8826683437519e-107
"nova2",1.14032459721751e-108,0.806128232322521,0.78,0.187,2.01278694654863e-104
"tle2a",3.1489726927006e-106,1.0088449693383,0.943,0.494,5.55825169988583e-102
"col15a1b",9.26649647495033e-105,0.984714470527248,0.853,0.303,1.63562929279348e-100
"tmeff1b",1.85227315200368e-98,0.977177556278892,0.973,0.756,3.2694473406017e-94
"si:ch73-364h19.1",2.57175528643038e-97,0.677016550293589,0.652,0.134,4.53940525607827e-93
"rpl26",8.5166696273182e-97,1.07487581110485,0.97,0.827,1.50327735591794e-92
"col18a1a",1.62769292361933e-95,0.876415501166404,0.758,0.213,2.87304077948049e-91
"hmgn6",7.78865026860819e-93,0.595215046590214,1,1,1.37477465891203e-88
"wasf3b",2.97047875337148e-90,0.924327187453885,0.921,0.503,5.24319204757599e-86
"NC-002333.4",2.10953388399556e-84,0.966370867280618,0.995,0.995,3.72353825864057e-80
"greb1l",2.98386708636975e-84,0.711612262783603,0.707,0.222,5.26682379415125e-80
"ptgdsb.2",2.09060005659923e-83,0.861578095789683,0.658,0.2,3.69011815990329e-79
"cirbpa",6.10389154600351e-80,0.534800962327161,1,0.999,1.07739789678508e-75
"marcksl1b",2.94423655315266e-78,0.870881113166862,1,0.926,5.19687193996976e-74
"otpb",4.10198515589118e-78,0.602058872789543,0.264,0.007,7.24041399866353e-74
