"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"prdm12b",2.76028166161722e-50,2.02518979374164,0.854,0.127,4.87217316092056e-46
"fabp7a",9.83789027095064e-32,1.50168267912688,0.521,0.066,1.7364860117255e-27
"lipg",2.55886163631853e-28,1.17557363561683,0.438,0.054,4.51664667426583e-24
"her15.2",2.25215604461644e-25,1.73249518715568,1,0.394,3.97528063435248e-21
"her4.2",1.72871270930598e-23,1.42350700882546,0.729,0.178,3.05135080319598e-19
"prdm8",1.08209704248934e-22,0.271060793732322,0.312,0.032,1.91000948969793e-18
"her15.1",4.41648671221187e-22,1.75796252680925,0.979,0.428,7.79554069572517e-18
"her4.1",5.85291334498318e-22,1.82446190919538,0.771,0.219,1.03309773452298e-17
"s1pr1",7.67266024846217e-21,0.257904172571726,0.271,0.027,1.35430126045606e-16
"her12",3.16708716071386e-20,1.51295371157797,0.792,0.242,5.59022554737603e-16
"her2",1.86723727378167e-19,2.05525500350129,0.729,0.239,3.29586051195203e-15
"slc1a3a",1.45952015394975e-17,1.2299401746317,1,0.646,2.57619902373671e-13
"fxyd1",1.26649009209873e-16,1.3447534044132,0.396,0.075,2.23548166156346e-12
"fabp3",1.94997779090975e-16,1.61256645767364,1,0.837,3.4419057987348e-12
"mcamb",2.48052112161828e-16,0.493528134740842,0.354,0.06,4.37836783176843e-12
"foxd3",1.30796003769416e-15,1.84790317661442,0.792,0.309,2.30868026253397e-11
"efhd1",2.59822360314281e-14,0.462545307372446,0.375,0.074,4.58612448190737e-10
"gstt1a",4.65556765208023e-14,0.866897535035398,0.562,0.163,8.21754246268682e-10
"plxna4",6.17771200209356e-14,0.292690752004971,0.292,0.046,1.09042794548953e-09
"marcksl1b",1.83135099127608e-12,0.935556109905463,1,0.939,3.2325176347014e-08
"triqk",2.27979590118347e-12,0.61724539135401,0.583,0.203,4.02406774517894e-08
"ppdpfb",7.77490096065971e-12,1.20226387882674,0.958,0.762,1.37234776856605e-07
"tuba8l3",1.73177377509772e-11,0.934680217018688,0.938,0.529,3.05675389042498e-07
"uap1",2.35333198305118e-11,0.364534955958373,0.5,0.152,4.15386628328363e-07
"ednrab",3.05456833744371e-11,0.977231426255556,0.979,0.676,5.39161857242189e-07
"sb:cb81",4.14435580851167e-11,0.997892556879514,0.833,0.471,7.31520243760394e-07
"pdgfab",1.03370934729564e-10,0.338128662288082,0.417,0.106,1.82460036891154e-06
"cd248a",1.11202108002528e-10,0.425683651619493,0.458,0.138,1.96282840835263e-06
"sfrp5",1.25474126553329e-10,0.597567495747977,0.542,0.187,2.21474380779282e-06
"si:ch73-141c7.1",1.28566360592351e-10,0.454258283133084,0.521,0.176,2.26932483081559e-06
"hey1",3.00445300266234e-10,0.673063852086228,0.833,0.424,5.30315999499929e-06
"mdka",4.30121990369877e-10,1.12732385383815,0.938,0.64,7.5920832520187e-06
"runx1t1",1.06609907321747e-09,0.355455703530977,0.333,0.083,1.88177147413615e-05
"foxp4",1.06720561145599e-09,1.04516818248549,0.875,0.514,1.88372462478097e-05
"si:dkey-28b4.7",2.47272044143428e-09,0.625478245296808,0.896,0.542,4.36459885117564e-05
"alcama",3.44072422855272e-09,0.574671811569045,0.833,0.432,6.0732223358184e-05
"qdpra",3.58132257278924e-09,0.457445768949251,0.458,0.148,6.32139247323028e-05
"myclb",7.7710676450577e-09,0.273342489683134,0.375,0.108,0.000137167115002913
"tes",1.68006782423371e-08,0.68890572039753,0.562,0.251,0.000296548771655492
"traf4a",2.1547781723729e-08,0.399371383937677,0.583,0.231,0.00038033989520554
"her6",2.96702036974997e-08,0.705296198574671,1,0.794,0.000523708765464566
