"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"slc2a15b",1.00402613082608e-272,2.40393957155972,0.772,0.005,1.77220652352111e-268
"slc45a2",7.18589536738605e-271,1.88779036000991,0.815,0.008,1.26838239129731e-266
"tfap2e",4.53951223215363e-268,1.48148776072822,0.761,0.005,8.01269304097437e-264
"pts",9.38746262798727e-265,2.31939460515985,0.761,0.005,1.65698102846603e-260
"pah",6.68084087065428e-261,1.41852920358959,0.707,0.002,1.17923522207919e-256
"cax1",3.74967260397536e-245,2.30505116760904,0.88,0.02,6.61854711327691e-241
"aox5",1.35119015857783e-233,2.36366918133592,0.609,0.001,2.38498574890573e-229
"pnp4a",9.82198287346456e-221,2.13809197965043,0.587,0.001,1.73367819699523e-216
"agtrap",2.94136416351172e-206,1.18751900927492,0.815,0.023,5.19180188501453e-202
"mitfa",1.95251954058248e-205,1.92067144750587,0.772,0.02,3.44639224108214e-201
"trpm1b",4.09472258180341e-205,2.60465978770182,0.957,0.046,7.2275948291412e-201
"pax7b",3.74487986253245e-203,1.72668506863403,0.674,0.01,6.61008744535603e-199
"pax7a",3.84037114715639e-203,2.90228435313385,0.685,0.012,6.77863911184574e-199
"mocos",1.18233681703864e-189,1.13835326081337,0.554,0.004,2.08694271575491e-185
"akr1b1.1",6.4805092474809e-187,4.57559796013281,0.826,0.034,1.14387468727285e-182
"cx30.3",1.01151159889192e-183,3.20466412533737,0.522,0.003,1.78541912320413e-179
"slc2a11b",4.88535849530252e-181,1.87140636282411,0.75,0.025,8.62314628005848e-177
"tspan10",5.06971904010759e-166,0.605711884882729,0.478,0.003,8.9485610776939e-162
"tyr",3.55364629901639e-165,0.508712522186235,0.467,0.002,6.27254108239384e-161
"bhlhe41",1.75631386375057e-163,0.690316471845731,0.489,0.004,3.10006960090614e-159
"atp11a",4.56453508495792e-161,0.702584935591745,0.533,0.008,8.05686087845922e-157
"slc2a15a",1.95794558706967e-160,0.665799221819373,0.424,0.001,3.45596975573667e-156
"tmem243a",2.29160757326461e-159,2.13567050213418,0.891,0.06,4.04491652756936e-155
"si:dkey-251i10.2",6.26461330833557e-152,2.79456404827684,0.391,0,1.10576689505431e-147
"gpr143",1.45405297230429e-150,2.77902711505965,0.957,0.087,2.5665489014143e-146
"slc22a7a",1.24686943918842e-143,1.59806447704962,0.391,0.001,2.20084924711148e-139
"tmem130",8.26824967497404e-140,1.94470072119279,0.391,0.002,1.45942875012967e-135
"cdk15",1.46472517585906e-139,0.504078369612348,0.467,0.007,2.58538640790883e-135
"pcdh10a",4.92477047148131e-139,1.48863091765749,0.815,0.053,8.69271235921166e-135
"si:dkey-21a6.5",5.75820955671511e-137,1.51608591019998,0.815,0.058,1.01638156885578e-132
"rab32a",7.3095561356185e-137,1.80315477317544,0.913,0.08,1.29020975349802e-132
"si:dkey-31f5.8",2.87897366367466e-133,1.33735183169099,0.5,0.012,5.08167641375213e-129
"slc3a2a",1.78591026585293e-132,1.2758320115054,0.859,0.062,3.15231021025701e-128
"parp6b",5.03399425543004e-132,0.439415056061909,0.391,0.003,8.88550326025957e-128
"xdh",1.57919464778819e-126,0.491541048476122,0.326,0,2.78743647281094e-122
"CABZ01021592.1",1.77008248833925e-126,7.0782118437139,0.609,0.028,3.1243726001676e-122
"pmela",6.38221668547645e-125,2.57007337459672,0.63,0.032,1.12652506715345e-120
"qdpra",1.93751504984005e-124,2.19284495794507,0.957,0.114,3.41990781447267e-120
"scamp3",1.24627356613779e-123,1.10227284258966,0.88,0.083,2.19979747158981e-119
"rgs2",8.29873998060964e-120,2.22127301322942,0.641,0.036,1.46481059397741e-115
