"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"grem2b",3.13982679113888e-268,2.77153930471125,0.865,0.061,5.54210826903923e-264
"twist1a",1.77072465998287e-254,2.70056155259164,0.993,0.218,3.12550609733576e-250
"dlx2a",1.62009781013019e-251,2.51029706937426,0.972,0.203,2.85963464466079e-247
"fibina",3.36045695893311e-238,1.35010609539203,0.832,0.07,5.93154257821284e-234
"mab21l2",1.96322965686007e-231,1.40600071841175,0.837,0.072,3.46529666732372e-227
"pmp22a",5.36322186584639e-222,2.52786979542475,1,0.563,9.46662291540546e-218
"phlda3",4.37219054200938e-218,1.41220722019892,0.904,0.171,7.71735352570075e-214
"bmp5",7.00266723719239e-187,0.987501853120184,0.749,0.072,1.23604079403683e-182
"prrx1b",3.59935431734021e-183,1.08209143604367,0.588,0.011,6.35322030553721e-179
"foxc1b",1.76604169023109e-181,1.01315524522406,0.667,0.045,3.11724018742689e-177
"prrx1a",4.52059057418352e-174,0.988393598133572,0.766,0.111,7.97929442249134e-170
"foxd1",1.04155590970017e-173,1.061675194034,0.591,0.021,1.83845033621176e-169
"dlx4b",5.74969346464092e-170,1.49973953015633,0.543,0.008,1.01487839344377e-165
"twist3",1.03968392030143e-169,0.753742331865361,0.543,0.008,1.83514608772405e-165
"dlx3b",4.72783609566811e-168,2.29030721275178,0.641,0.062,8.34510349246377e-164
"stmn1a",4.14292875232318e-167,1.73937650857402,0.995,0.591,7.31268354072565e-163
"tubb2b",3.24506503881367e-159,1.27961146460751,1,0.967,5.72786430001002e-155
"cthrc1a",6.93327020950663e-158,0.894806716699502,0.572,0.031,1.22379152468001e-153
"tuba8l3",1.76138613002039e-156,1.39833478050381,0.959,0.351,3.109022658099e-152
"pcbd1",5.48313184073667e-156,1.14638845831741,0.954,0.347,9.6782760120843e-152
"mfap2",6.89958905610326e-155,1.1896669639937,0.988,0.774,1.21784646429279e-150
"sox11a",7.77329786360651e-153,1.22399664096724,0.956,0.428,1.37206480590519e-148
"sdc4",2.94114614453456e-144,1.40446388417136,0.995,0.755,5.19141705971795e-140
"ndnf",6.65098096123794e-143,0.892350710492962,0.71,0.117,1.17396464946811e-138
"fli1a",5.1929847468631e-133,0.72968193510648,0.842,0.232,9.16613737668806e-129
"dlx5a",6.76386561429463e-133,1.64188305525454,0.488,0.026,1.19388991957915e-128
"snai1a",4.86672922299848e-131,1.00166400548666,0.588,0.073,8.59026375151461e-127
"cdh11",1.0049125064344e-130,0.828706241662303,0.688,0.116,1.77377106510735e-126
"hnrnpa0b",8.75186964734601e-130,0.758634419583565,1,0.994,1.54479251145304e-125
"her6",1.42303218332663e-128,1.41079634751833,0.989,0.714,2.51179410678983e-124
"tmem119b",2.37115778562589e-128,0.935778240829741,0.883,0.284,4.18533060740825e-124
"fmoda",1.83634731748863e-127,0.864789314253982,0.48,0.023,3.24133665009918e-123
"sall4",3.66830358741986e-123,0.958794241959784,0.777,0.213,6.4749226621548e-119
"ccn1",1.23734204781712e-122,1.15026730440302,0.619,0.1,2.18403244860199e-118
"si:ch211-286o17.1",7.20615166605106e-121,1.04555624728908,0.912,0.398,1.27195783057467e-116
"foxd2",5.33750088630532e-118,0.71916925189254,0.405,0.009,9.42122281441753e-114
"idh2",4.91628779617707e-116,0.766573022356656,0.996,0.917,8.67773958903214e-112
"six1b",1.28981824866474e-114,0.637193580774071,0.674,0.126,2.27665819071813e-110
"hey1",5.54308428269648e-114,0.913232720986623,0.821,0.261,9.78409806738757e-110
"colec12",6.93824640456272e-113,0.587679532778564,0.6,0.088,1.22466987286936e-108
"col1a1a",4.70085873864879e-111,0.557125960055644,0.655,0.112,8.29748575958897e-107
