"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"marcksl1b",2.54310868970169e-45,0.846580180809494,1,0.933,4.48884114819245e-41
"prdm12b",6.97781429982619e-43,0.769427795535007,0.455,0.106,1.23165400206232e-38
"inka1a",4.95458286166308e-41,0.990101634649728,0.957,0.548,8.74533420912151e-37
"slc1a3a",5.71516567668358e-39,0.861596972635697,0.934,0.619,1.00878389359142e-34
"ednrab",2.35276166977847e-35,0.823799156402558,0.991,0.643,4.15285962332598e-31
"nrp2a",1.39003975627592e-32,0.666336656318064,0.664,0.3,2.45355917380262e-28
"eva1ba",4.27623215590466e-32,0.543293410994639,0.711,0.333,7.54797737838731e-28
"fscn1a",7.555624940865e-32,0.686607243838619,0.967,0.692,1.33364335831208e-27
"atf3",1.34938159207439e-28,0.911341327889944,0.886,0.61,2.3817934481705e-24
"cyth1b",8.60538346344669e-27,0.559207753392695,0.773,0.409,1.51893623513298e-22
"ccnd2a",1.98738165031713e-23,0.555040716066657,0.777,0.47,3.50792735097477e-19
"CR847906.1",2.19696941942606e-23,0.628201908586178,0.621,0.302,3.87787072222895e-19
"pabpc1a",4.53463658254461e-23,0.33294128016972,1,1,8.00408703184949e-19
"zbtb16a",3.19719547956921e-22,0.578032773247309,0.967,0.819,5.64336974098761e-18
"tfap2a",8.85564956041634e-21,0.451977348484792,0.924,0.575,1.56311070390909e-16
"zeb2a",1.1260181349971e-20,0.566397991876463,0.749,0.464,1.98753461008338e-16
"ptgdsb.1",1.27873709924319e-20,0.382438478907515,0.943,0.618,2.25709885387415e-16
"timm8b",4.4577549545191e-18,0.534096185945252,0.957,0.874,7.86838327022167e-14
"snu13b",1.1538178655797e-17,0.429363330492286,1,0.969,2.03660391453473e-13
"fabp3",2.0138798537414e-17,0.545286237958322,0.986,0.823,3.55469932983894e-13
"npm1a",4.75366203691543e-17,0.42254746393867,1,0.963,8.39068886135942e-13
"snrpb",7.23706353184098e-17,0.312782069743596,1,0.996,1.27741408400525e-12
"eif5",1.21515212933511e-16,0.441136053334369,0.972,0.889,2.14486502348941e-12
"pdap1a",1.26991749514528e-16,0.414276108689678,1,0.933,2.24153137068093e-12
"zgc:174888",1.44263048948282e-16,0.435627417687544,0.455,0.208,2.54638707698612e-12
"wasf3b",1.49582209670636e-16,0.411824463225626,0.815,0.557,2.6402755828964e-12
"aldob",1.9448643052524e-16,0.469331686749014,0.972,0.827,3.43287998520101e-12
"traf4a",2.04057475190233e-16,0.381032710680428,0.45,0.213,3.6018184945828e-12
"nr2f5",2.69004537106969e-16,0.422865293466474,0.976,0.741,4.74819908447511e-12
"sept12",2.83768472039112e-16,0.371912088933916,0.801,0.567,5.00879729996236e-12
"nop10",3.0997246548054e-16,0.359799188067,1,0.968,5.47132398819701e-12
"si:ch73-364h19.1",6.48212975112369e-16,0.366889509825938,0.455,0.21,1.14416072237084e-11
"abcf1",6.74228143374532e-16,0.393723676944705,0.986,0.929,1.19008009587039e-11
"CT027638.1",7.22817032676045e-16,0.568777209680614,0.957,0.891,1.27584434437649e-11
"atp1b3a",1.17300718163827e-15,0.467289772307451,0.891,0.671,2.07047497630970e-11
"mycn",1.55554032010378e-15,0.526991546864236,0.957,0.756,2.74568421901518e-11
"si:dkey-239h2.3",6.74044352758271e-15,0.406849247547898,0.91,0.756,1.18975568705362e-10
"sf3b5",6.93139639603216e-15,0.410841494306268,0.976,0.85,1.22346077786364e-10
"rn7sk",1.72955736755417e-14,0.587810361005265,0.588,0.354,3.05284170946986e-10
"lonrf1l",3.26574401281354e-14,0.369314322399755,0.559,0.334,5.76436475701718e-10
"prmt1",3.35414126395983e-14,0.340644930149569,1,0.957,5.92039474501549e-10
"sox4a.1",4.36072926008879e-14,0.51428039201228,0.673,0.414,7.69712321698272e-10
"cnbpa",4.70036883747226e-14,0.308549745749569,1,0.991,8.29662103502228e-10
"metap2b",7.55616957598242e-14,0.389577669870591,0.981,0.927,1.33373949185666e-09
"cnbpb",7.73295215452054e-14,0.334939753784521,1,0.985,1.36494338479442e-09
"snrpd2",1.20155028089389e-13,0.31352930110145,1,0.996,2.12085640080581e-09
"kctd15a",1.56668155713046e-13,0.268365360540112,0.555,0.314,2.76534961649098e-09
"mych",2.22106634828918e-13,0.455069582734677,0.867,0.722,3.92040421136523e-09
"btg1",2.91519400037461e-13,0.267143842953769,0.962,0.877,5.14560893006123e-09
"higd1a",4.49546366008144e-13,0.383706484807248,0.886,0.736,7.93494290640974e-09
"nop2",5.86752287058429e-13,0.39795153486001,0.91,0.761,1.03567646188683e-08
"vamp5",7.69720997523832e-13,0.305887286149231,0.474,0.25,1.35863453272932e-08
"phf5a",8.03826414458007e-13,0.315174431600015,0.986,0.956,1.41883400415983e-08
"si:dkey-44g23.5",2.48222282995238e-12,0.28239124608902,0.559,0.344,4.38137151714895e-08
"cirbpa",5.44244224019171e-12,0.277444571008043,1,0.999,9.60645479816238e-08
"kctd1",5.4900549731741e-12,0.291310591365749,0.318,0.145,9.6904960331496e-08
"cdkn1ca",6.45622309209714e-12,0.511667094970682,0.848,0.697,1.13958793798607e-07
"fam168b",1.8149509280021e-11,0.343863045530678,0.853,0.654,3.20356988301651e-07
"ptbp1b",2.94415797155261e-11,0.342744458129123,0.934,0.812,5.19673323558751e-07
"eif1axb",4.46145285110401e-11,0.30112128608159,0.995,0.979,7.87491042748368e-07
"si:dkey-23i12.7",4.88501578283158e-11,0.395560103047314,0.318,0.151,8.62254135827602e-07
"prxl2b",5.70596276275934e-11,0.308336349803329,0.621,0.426,1.00715948725465e-06
"nhp2",7.77377560343818e-11,0.27624497739862,0.991,0.947,1.37214913176287e-06
"snrpg",1.04438660101245e-10,0.292978583977866,1,0.993,1.84344678944708e-06
"polr2f",1.5059285927745e-10,0.331038997165268,0.962,0.913,2.65811455910627e-06
"si:dkey-102m7.3",1.6961017955459e-10,0.369535511974113,0.934,0.8,2.99378927931807e-06
"oc90",2.077215672446e-10,0.3166994738008,0.441,0.26,3.66649338343444e-06
"si:dkey-33c12.4",2.22109654428791e-10,0.31844612700708,0.882,0.751,3.92045751032259e-06
"cxxc5a",2.97658472295046e-10,0.316314144170186,0.754,0.58,5.25396969447986e-06
"ilf3b",3.12015981774847e-10,0.312275459228076,0.967,0.905,5.50739409430782e-06
"apoeb",3.55805605560157e-10,0.591880681880011,0.64,0.465,6.28032474374233e-06
"ddx27",3.97956531201638e-10,0.347363990574241,0.839,0.688,7.02433073224012e-06
"BX957362.1",4.09751199788528e-10,0.344291545155262,0.626,0.441,7.2325184274673e-06
"atp1a1a.1",4.52349286643889e-10,0.333810897065232,0.882,0.789,7.98441725855129e-06
"eef1db",4.87043008729099e-10,0.275423667455203,1,0.975,8.59679614707733e-06
"nap1l1",1.07159857950171e-09,0.319466246480255,0.806,0.661,1.89147865267848e-05
"ptges3b",1.32312488402795e-09,0.250090671885534,0.981,0.963,2.33544773279774e-05
"ebna1bp2",2.54614682459065e-09,0.2793618512568,0.962,0.865,4.49420376008496e-05
"cdkn1a",2.97319303745402e-09,0.331258506377954,0.322,0.17,5.24798303041009e-05
"rbm28",3.04222554982242e-09,0.338806899522406,0.9,0.778,5.36983231799156e-05
"lsm3",3.31878922566990e-09,0.260105311304137,0.986,0.94,5.85799486222993e-05
"mybbp1a",4.00974329529674e-09,0.295487126112016,0.768,0.601,7.07759789052827e-05
"rcl1",4.12290564918479e-09,0.286579204503872,0.858,0.682,7.27734076137607e-05
"si:dkey-95p16.2",4.21860498333562e-09,0.383670665470044,0.72,0.58,7.4462596560857e-05
"mrps33",4.38176263592363e-09,0.331132093676888,0.768,0.604,7.73424922866881e-05
"lin28a",4.41523560567472e-09,0.338937161566988,0.834,0.689,7.79333236757645e-05
"lsm8",5.02571223773982e-09,0.302655236369795,0.967,0.964,8.87088467083456e-05
"hint1",5.68613295742142e-09,0.266336487518517,0.962,0.85,0.000100365932831446
"sb:cb81",6.09188281222348e-09,0.268002943545667,0.673,0.456,0.000107527823518557
"selenoh",6.52832889474063e-09,0.250743388057422,0.995,0.961,0.000115231533321067
"gmfb",7.89375773161371e-09,0.293548283080315,0.934,0.886,0.000139332717720714
"ube2nb",1.07134090449942e-08,0.31344830349383,0.929,0.869,0.000189102383053193
"CU929070.5",1.09423540420027e-08,0.297943701442895,0.815,0.67,0.00019314349119539
"eif3k",1.28025322979388e-08,0.262660670724096,0.986,0.97,0.000225977497590918
"ssb",1.45224193283923e-08,0.278618824906474,0.919,0.776,0.000256335223565452
